employee_id,training_plan_id ,training_category_explain
750,750,Dilation of Right Subclavian Artery
751,751,Open Approach
752,752,Perc Endo Approach
753,753,Fragmentation in Ascending Colon
754,754,Via Opening
755,755,Percutaneous Approach
756,756,Muscle Perform Assess Neuro Low Back/LE w Assist Equip
757,757,Via Opening
758,758,Removal of Infusion Dev from R Sacroiliac Jt
759,759,Bypass R Com Iliac Art to R Int Ilia w Autol Vn
760,760,Revision of Drain Dev in R Extraoc Muscle
761,761,Neck using Physical Agent
762,762,Percutaneous Approach
763,763,Perc
764,764,Bypass R Com Iliac Art to R Int Ilia w Autol Vn
765,765,Destruction of Cervical Vertebra
766,766,Perc Endo
767,767,Open Approach
768,768,Percutaneous Approach
769,769,Revise of Nonaut Sub in Up Intest Tract
770,770,Perc Approach
771,771,Excision of Left Neck Muscle
772,772,Dilation of Right Subclavian Artery
773,773,Perc Endo Approach
774,774,Perc Endo Approach
775,775,Excision of Bilateral Fallopian Tubes
776,776,Perc Endo Approach
777,777,Excision of Bilateral Fallopian Tubes
778,778,Revise of Nonaut Sub in Up Intest Tract
779,779,Remove of Radioact Elem from Cranial Cav
780,780,Destruction of Cervix
781,781,Open Approach
782,782,Perc Endo
783,783,Perc
784,784,Excision of Left Neck Muscle
785,785,Exercise Treatment of Neuro Head
786,786,Percutaneous Approach
787,787,Perc Endo Approach
788,788,Bypass Ileum to Asc Colon with Synth Sub
789,789,Extirpation of Matter from R Up Lobe Bronc
790,790,Bypass Ileum to Transverse Colon with Synth Sub
791,791,Perc
792,792,Reposition Right External Iliac Artery
793,793,Reposition Right External Iliac Artery
794,794,Perc Endo
795,795,Bypass Ileum to Asc Colon with Synth Sub
796,796,Perc Endo Approach
797,797,Open Approach
798,798,Destruction of Cervical Vertebra
799,799,Open Approach
800,800,Extirpation of Matter from R Up Lobe Bronc
801,801,Bypass R Int Iliac Art to B Femor A w Synth Sub
802,802,LDR Brachytherapy of Oropharynx using Cesium 137
803,803,Open Approach
804,804,Neck using Physical Agent
805,805,Extirpation of Matter from Sacrococcygeal Jt
806,806,Perc Endo Approach
807,807,Endo
808,808,External Approach
809,809,Bypass Ileum to Asc Colon with Synth Sub
810,810,Transfer Optic Nerve to Olfactory Nerve
811,811,Perc
812,812,Transfer Optic Nerve to Olfactory Nerve
813,813,Neck using Physical Agent
814,814,Revise of Nonaut Sub in Up Intest Tract
815,815,Perc
816,816,Bypass R Com Iliac Art to R Int Ilia w Autol Vn
817,817,External Approach
818,818,Open Approach
819,819,Perc Endo
820,820,Fragmentation in Ascending Colon
821,821,Perc Endo
822,822,Excision of Bilateral Fallopian Tubes
823,823,Open Approach
824,824,Open Approach
825,825,Open Approach
826,826,Perc Endo
827,827,Neck using Physical Agent
828,828,Dilation of Right Subclavian Artery
829,829,Perc Approach
830,830,Perc Endo
831,831,Via Opening
832,832,Perc Approach
833,833,Endo
834,834,Neck using Physical Agent
835,835,Perc Endo
836,836,Perc
837,837,Perc Approach
838,838,Muscle Perform Assess Neuro Low Back/LE w Assist Equip
839,839,Open Approach
840,840,Destruction of Cervical Vertebra
841,841,Destruction of Cervix
842,842,Reposition Right External Iliac Artery
843,843,Revise of Nonaut Sub in Up Intest Tract
844,844,Perc Endo
845,845,Remove of Radioact Elem from Cranial Cav
846,846,Perc Endo
847,847,Transfer Optic Nerve to Olfactory Nerve
848,848,Remove Infusion Dev from R Metatarsotars Jt
849,849,Perc Endo Approach
850,850,Open Approach
851,851,Perc Endo
852,852,Bypass Ileum to Transverse Colon with Synth Sub
853,853,Open Approach
854,854,Destruction of Cervix
855,855,Via Opening
856,856,Open Approach
857,857,Dilation of Sup Mesent Vein with Intralum Dev
858,858,Transfer Optic Nerve to Olfactory Nerve
859,859,Perc Endo Approach
860,860,Perc Approach
861,861,Revise of Nonaut Sub in Up Intest Tract
862,862,Perc
863,863,Extirpation of Matter from R Up Lobe Bronc
864,864,Via Opening
865,865,Extirpation of Matter from R Up Lobe Bronc
866,866,Perc Endo Approach
867,867,Reposition Right External Iliac Artery
868,868,Perc Endo Approach
869,869,Perc
870,870,Repair Esophagogastric Junction
871,871,Reposition Right External Iliac Artery
872,872,Excision of Bilateral Fallopian Tubes
873,873,Open Approach
874,874,Perc Endo Approach
875,875,Perc Endo
876,876,Neck using Physical Agent
877,877,Dilation of Right Subclavian Artery
878,878,Endo
879,879,Perc Endo Approach
880,880,Excision of Bilateral Fallopian Tubes
881,881,External Approach
882,882,LDR Brachytherapy of Oropharynx using Cesium 137
883,883,Muscle Perform Assess Neuro Low Back/LE w Assist Equip
884,884,Dilation of Sup Mesent Vein with Intralum Dev
885,885,Bypass R Int Iliac Art to B Femor A w Synth Sub
886,886,Open Approach
887,887,Open Approach
888,888,Bypass Ileum to Transverse Colon with Synth Sub
889,889,Open Approach
890,890,Open Approach
891,891,Removal of Infusion Dev from R Sacroiliac Jt
892,892,Open Approach
893,893,Neck using Physical Agent
894,894,LDR Brachytherapy of Oropharynx using Cesium 137
895,895,Remove Infusion Dev from R Metatarsotars Jt
896,896,Perc Endo Approach
897,897,LDR Brachytherapy of Oropharynx using Cesium 137
898,898,Dilation of Right Subclavian Artery
899,899,Open Approach
900,900,Bypass R Int Iliac Art to B Femor A w Synth Sub
901,901,Fragmentation in Ascending Colon
902,902,Inspection of Left Lens
903,903,Bypass Ileum to Transverse Colon with Synth Sub
904,904,Perc Endo
905,905,Perc Endo Approach
906,906,Perc Approach
907,907,Fragmentation in Ascending Colon
908,908,Supplement Left Abdomen Muscle with Synth Sub
909,909,Dilation of Right Subclavian Artery
910,910,Removal of Infusion Dev from R Sacroiliac Jt
911,911,Removal of Infusion Dev from R Sacroiliac Jt
912,912,Remove Infusion Dev from R Metatarsotars Jt
913,913,Perc Endo Approach
914,914,Endo
915,915,Extirpation of Matter from Sacrococcygeal Jt
916,916,Perc Endo Approach
917,917,Perc Approach
918,918,Perc Endo
919,919,Perc Endo Approach
920,920,Perc Endo Approach
921,921,Extirpation of Matter from R Up Lobe Bronc
922,922,Neck using Physical Agent
923,923,Perc Endo Approach
924,924,LDR Brachytherapy of Oropharynx using Cesium 137
925,925,Muscle Perform Assess Neuro Low Back/LE w Assist Equip
926,926,Destruction of Cervical Vertebra
927,927,Perc Endo Approach
928,928,LDR Brachytherapy of Oropharynx using Cesium 137
929,929,Extirpation of Matter from R Up Lobe Bronc
930,930,Extirpation of Matter from Sacrococcygeal Jt
931,931,Excision of Bilateral Fallopian Tubes
932,932,Revise of Nonaut Sub in Up Intest Tract
933,933,Bypass Ileum to Asc Colon with Synth Sub
934,934,Excision of Left Neck Muscle
935,935,Perc Endo Approach
936,936,Open Approach
937,937,Dilation of Sup Mesent Vein with Intralum Dev
938,938,Bypass Ileum to Asc Colon with Synth Sub
939,939,Open Approach
940,940,Transfer Optic Nerve to Olfactory Nerve
941,941,Perc Endo Approach
942,942,Removal of Infusion Dev from R Sacroiliac Jt
943,943,Destruction of Cervical Vertebra
944,944,Open Approach
945,945,Exercise Treatment of Neuro Head
946,946,Bypass Ileum to Asc Colon with Synth Sub
947,947,Supplement Left Abdomen Muscle with Synth Sub
948,948,Perc Endo Approach
949,949,Perc Endo Approach
950,950,External Approach
951,951,Perc Endo Approach
952,952,Perc
953,953,Perc Approach
954,954,External Approach
955,955,Bypass R Com Iliac Art to R Int Ilia w Autol Vn
956,956,Perc Endo Approach
957,957,Supplement Left Abdomen Muscle with Synth Sub
958,958,Perc Endo Approach
959,959,Open Approach
960,960,Perc Endo Approach
961,961,Extirpation of Matter from Sacrococcygeal Jt
962,962,External Approach
963,963,Percutaneous Approach
964,964,Perc Approach
965,965,Destruction of Cervix
966,966,Perc Endo Approach
967,967,Removal of Infusion Dev from R Sacroiliac Jt
968,968,Inspection of Left Lens
969,969,Perc
970,970,External Approach
971,971,Repair Esophagogastric Junction
972,972,Percutaneous Approach
973,973,Perc Endo Approach
974,974,External Approach
975,975,Endo
976,976,Transfer Optic Nerve to Olfactory Nerve
977,977,Via Opening
978,978,Percutaneous Approach
979,979,Endo
980,980,Dilation of Right Subclavian Artery
981,981,Revise of Nonaut Sub in Up Intest Tract
982,982,Excision of Bilateral Fallopian Tubes
983,983,Via Opening
984,984,Perc Endo
985,985,Destruction of Cervical Vertebra
986,986,Perc Endo Approach
987,987,Perc Endo Approach
988,988,Repair Esophagogastric Junction
989,989,Supplement Left Abdomen Muscle with Synth Sub
990,990,Revision of Drain Dev in R Extraoc Muscle
991,991,Revise of Nonaut Sub in Up Intest Tract
992,992,Endo
993,993,External Approach
994,994,Removal of Infusion Dev from R Sacroiliac Jt
995,995,Excision of Left Neck Muscle
996,996,Perc Endo Approach
997,997,Bypass R Com Iliac Art to R Int Ilia w Autol Vn
998,998,Excision of Left Neck Muscle
999,999,Open Approach
1000,1000,Bypass R Int Iliac Art to B Femor A w Synth Sub
