course_category_id ,course_category_name,course_category_explain
623,Clinical Specialist,Acc d/t weightless envir
624,Geological Engineer,Gc salpingitis (chronic)
625,Accounting Assistant IV,Central pterygium
626,Sales Associate,Sprain of pelvis
627,Sales Associate,Adv eff blood agent NEC
628,Health Coach III,Cong fold/cyst post eye
629,Dental Hygienist,Central pterygium
630,Senior Developer,Spastic entropion
631,Sales Associate,Horseback riding
632,Geological Engineer,Sprain of pelvis
633,Health Coach III,Gc salpingitis (chronic)
634,Mechanical Systems Engineer,Cong fold/cyst post eye
635,Nuclear Power Engineer,Chondrocalcin NOS-hand
636,Human Resources Assistant II,Cong fold/cyst post eye
637,Sales Associate,Leg ab w compl NEC-inc
638,Dental Hygienist,Sprain of pelvis
639,Food Chemist,Nervousness
640,Desktop Support Technician,Sezary's disease pelvic
641,Developer II,Thrombophlebitis migrans
642,Mechanical Systems Engineer,General medical exam NEC
643,Senior Developer,Horseback riding
644,Sales Associate,Opn wnd scrot/test-compl
645,Human Resources Assistant II,Chondrocalcin NOS-hand
646,Developer III,Opn wnd lary w trac-comp
647,Human Resources Assistant II,Opn wnd scrot/test-compl
648,VP Sales,Mal neo ant 2/3 tongue
649,Geologist IV,Legal abor w hemorr-unsp
650,Analog Circuit Design manager,Thrombophlebitis migrans
651,Dental Hygienist,Mal neo ant 2/3 tongue
652,Editor,Compartment syndrome NOS
653,Office Assistant III,Other lymphedema
654,Technical Writer,Acc d/t weightless envir
655,Safety Technician III,Compartment syndrome NOS
656,Editor,Leg ab w compl NEC-comp
657,Safety Technician III,Legal abor w hemorr-unsp
658,Research Nurse,Amebic brain abscess
659,Office Assistant III,Other lymphedema
660,Accounting Assistant IV,Cheyne-stokes respiratn
661,Structural Analysis Engineer,Opn subdur hem-prol coma
662,Clinical Specialist,Thrombophlebitis migrans
663,Structural Analysis Engineer,Leg ab w compl NEC-inc
664,Information Systems Manager,Bipol I manic-sev w psy
665,Developer III,Sezary's disease pelvic
666,Human Resources Assistant II,Adv eff blood agent NEC
667,Research Nurse,Amebic brain abscess
668,Office Assistant III,Cystitis NEC
669,Information Systems Manager,Cheyne-stokes respiratn
670,Senior Quality Eng,General medical exam NEC
671,Accounting Assistant IV,Artic cartil dis-forearm
672,Senior Quality Eng,Central pterygium
673,Quality Engineer,Legal abor w hemorr-unsp
674,Biostatistician II,Cong fold/cyst post eye
675,Occupational Therapist,Colon injury NOS-closed
676,Desktop Support Technician,Other lymphedema
677,Geologist III,Nervousness
678,Occupational Therapist,Amebic brain abscess
679,Geologist IV,Cheyne-stokes respiratn
680,Biostatistician II,General medical exam NEC
681,Geologist IV,Thrombophlebitis migrans
682,Mechanical Systems Engineer,Legal abor w hemorr-unsp
683,Human Resources Assistant II,Gc salpingitis (chronic)
684,Health Coach III,Cong fold/cyst post eye
685,Safety Technician III,Colon injury NOS-closed
686,Help Desk Operator,Cystitis NEC
687,Developer II,Sezary's disease pelvic
688,Marketing Manager,Hx-health hazard NOS
689,Senior Developer,Central pterygium
690,Developer II,Opn wnd lary w trac-comp
691,VP Sales,Poor fetal grth-antepart
692,Dental Hygienist,Opn wnd lary w trac-comp
693,Accounting Assistant IV,Bipol I manic-sev w psy
694,Occupational Therapist,Nervousness
695,Research Nurse,Opn wnd scrot/test-compl
696,Biostatistician II,Severe birth asphyxia
697,VP Sales,Acc d/t weightless envir
698,Mechanical Systems Engineer,General medical exam NEC
699,Nuclear Power Engineer,Central pterygium
700,Geologist III,Other lymphedema
701,VP Sales,Spastic entropion
702,Biostatistician II,Opn subdur hem-prol coma
703,Nuclear Power Engineer,Legal abor w hemorr-unsp
704,Sales Associate,Leg ab w compl NEC-comp
705,Nuclear Power Engineer,Mal neo ant 2/3 tongue
706,Clinical Specialist,Adv eff blood agent NEC
707,Senior Developer,Acc d/t weightless envir
708,Dental Hygienist,Cheyne-stokes respiratn
709,Safety Technician III,General medical exam NEC
710,Information Systems Manager,Compartment syndrome NOS
711,Safety Technician III,Leg ab w compl NEC-comp
712,Desktop Support Technician,Colon injury NOS-closed
713,Accountant III,Adv eff blood agent NEC
714,Dental Hygienist,Horseback riding
715,Biostatistician II,Thrombophlebitis migrans
716,Food Chemist,Horseback riding
717,Occupational Therapist,Leg ab w compl NEC-inc
718,Quality Engineer,Gc salpingitis (chronic)
719,Statistician IV,Nervousness
720,Geologist III,Central pterygium
721,Senior Developer,Chondrocalcin NOS-hand
722,Accounting Assistant IV,Legal abor w hemorr-unsp
723,Office Assistant III,Poor fetal grth-antepart
724,Senior Quality Eng,Cystitis NEC
725,Biostatistician II,Leg ab w compl NEC-comp
726,Biostatistician II,Compartment syndrome NOS
727,Accountant III,Opn wnd lary w trac-comp
728,Clinical Specialist,Spastic entropion
729,Human Resources Assistant II,Thrombophlebitis migrans
730,Geological Engineer,Opn wnd scrot/test-compl
731,Mechanical Systems Engineer,Suppurativ labyrinthitis
732,Help Desk Operator,Adv eff blood agent NEC
733,Human Resources Assistant II,Sprain of pelvis
734,Safety Technician III,Cutan leishmanias asian
735,VP Sales,Mal neo ant 2/3 tongue
736,Help Desk Operator,Other lymphedema
737,Dental Hygienist,Amebic brain abscess
738,Geological Engineer,Thrombophlebitis migrans
739,Senior Developer,Cutan leishmanias asian
740,Quality Engineer,Gc salpingitis (chronic)
741,Dental Hygienist,Poor fetal grth-antepart
742,Dental Hygienist,Sezary's disease pelvic
743,Occupational Therapist,Nervousness
744,Biostatistician II,Bipol I manic-sev w psy
745,Occupational Therapist,Acc d/t weightless envir
746,Research Nurse,Gc salpingitis (chronic)
747,Research Nurse,Bipol I manic-sev w psy
748,Senior Developer,Amebic brain abscess
749,Geologist III,Cl skull fx NEC-concuss
750,Analog Circuit Design manager,Opn subdur hem-prol coma
751,Office Assistant III,Acc d/t weightless envir
752,Marketing Manager,Resp cond dt smoke inhal
753,Senior Quality Eng,Central pterygium
754,Recruiter,Suppurativ labyrinthitis
755,Geologist III,Legal abor w hemorr-unsp
756,Mechanical Systems Engineer,Opn wnd scrot/test-compl
757,Clinical Specialist,Opn subdur hem-prol coma
758,Geologist III,Artic cartil dis-forearm
759,Clinical Specialist,Poor fetal grth-antepart
760,Human Resources Assistant II,Horseback riding
761,Health Coach III,Bipol I manic-sev w psy
762,Health Coach III,Acc d/t weightless envir
763,Analog Circuit Design manager,Mal neo ant 2/3 tongue
764,Human Resources Assistant II,Opn wnd scrot/test-compl
765,Recruiter,Artic cartil dis-forearm
766,Developer III,Resp cond dt smoke inhal
767,Technical Writer,Sprain of pelvis
768,Marketing Manager,Other lymphedema
769,Health Coach III,Central pterygium
770,Human Resources Assistant II,Amebic brain abscess
771,Help Desk Operator,Suppurativ labyrinthitis
772,Senior Quality Eng,Bipol I manic-sev w psy
773,Dental Hygienist,Mal neo ant 2/3 tongue
774,Health Coach III,Sprain of pelvis
775,Accounting Assistant IV,Cheyne-stokes respiratn
776,Technical Writer,Artic cartil dis-forearm
777,Quality Engineer,Gc salpingitis (chronic)
778,Desktop Support Technician,Adv eff blood agent NEC
779,Dental Hygienist,Cheyne-stokes respiratn
780,Statistician IV,Colon injury NOS-closed
781,Editor,Colon injury NOS-closed
782,Structural Analysis Engineer,Horseback riding
783,Accounting Assistant IV,General medical exam NEC
784,Geological Engineer,Gc salpingitis (chronic)
785,Technical Writer,Cong fold/cyst post eye
786,Biostatistician II,Opn wnd lary w trac-comp
787,Recruiter,Central pterygium
788,Geologist III,Compartment syndrome NOS
789,Office Assistant III,Suppurativ labyrinthitis
790,Geologist IV,Cl skull fx NEC-concuss
791,Technical Writer,Thrombophlebitis migrans
792,Mechanical Systems Engineer,Legal abor w hemorr-unsp
793,Food Chemist,Sezary's disease pelvic
794,Safety Technician III,Poor fetal grth-antepart
795,Statistician IV,Thrombophlebitis migrans
796,Information Systems Manager,Legal abor w hemorr-unsp
797,Marketing Manager,Opn wnd scrot/test-compl
798,Statistician IV,Opn subdur hem-prol coma
799,Analog Circuit Design manager,Sezary's disease pelvic
800,Occupational Therapist,Horseback riding
801,Analog Circuit Design manager,Horseback riding
802,Research Nurse,Bipol I manic-sev w psy
803,Analog Circuit Design manager,Resp cond dt smoke inhal
804,Dental Hygienist,Legal abor w hemorr-unsp
805,Senior Quality Eng,Adv eff blood agent NEC
806,Desktop Support Technician,Opn wnd scrot/test-compl
807,Technical Writer,Compartment syndrome NOS
808,Recruiter,Gc salpingitis (chronic)
809,Senior Developer,Thrombophlebitis migrans
810,Geologist III,Nervousness
811,Food Chemist,Legal abor w hemorr-unsp
812,Human Resources Assistant II,Leg ab w compl NEC-comp
813,Senior Quality Eng,Colon injury NOS-closed
814,Marketing Manager,Leg ab w compl NEC-comp
815,Developer II,Leg ab w compl NEC-inc
816,Research Nurse,Resp cond dt smoke inhal
817,Occupational Therapist,Opn subdur hem-prol coma
818,Marketing Manager,Sezary's disease pelvic
819,Marketing Manager,Severe birth asphyxia
820,Human Resources Assistant II,Opn subdur hem-prol coma
821,Food Chemist,Spastic entropion
822,Occupational Therapist,Bipol I manic-sev w psy
823,Sales Associate,Central pterygium
824,Quality Engineer,Opn subdur hem-prol coma
825,Food Chemist,Poor fetal grth-antepart
826,Geologist IV,Acc d/t weightless envir
827,Help Desk Operator,Amebic brain abscess
828,Marketing Manager,Severe birth asphyxia
829,Research Nurse,Cong fold/cyst post eye
830,Developer III,Severe birth asphyxia
831,Mechanical Systems Engineer,Central pterygium
832,Quality Engineer,Opn subdur hem-prol coma
833,Office Assistant III,Sprain of pelvis
834,Research Nurse,Chondrocalcin NOS-hand
835,Structural Analysis Engineer,Legal abor w hemorr-unsp
836,Nuclear Power Engineer,Compartment syndrome NOS
837,Dental Hygienist,Suppurativ labyrinthitis
838,Structural Analysis Engineer,Opn wnd scrot/test-compl
839,Editor,Resp cond dt smoke inhal
840,Quality Engineer,Cong fold/cyst post eye
841,Research Nurse,Cystitis NEC
842,Senior Developer,Poor fetal grth-antepart
843,Senior Quality Eng,Spastic entropion
844,Clinical Specialist,Nervousness
845,Senior Quality Eng,Cutan leishmanias asian
846,Clinical Specialist,Cutan leishmanias asian
847,Safety Technician III,Thrombophlebitis migrans
848,Marketing Manager,Opn wnd scrot/test-compl
849,Food Chemist,Cong fold/cyst post eye
850,Editor,Hx-health hazard NOS
851,Nuclear Power Engineer,Chondrocalcin NOS-hand
852,Food Chemist,Compartment syndrome NOS
853,Desktop Support Technician,Cong fold/cyst post eye
854,Human Resources Assistant II,Sezary's disease pelvic
855,Statistician IV,Leg ab w compl NEC-comp
856,VP Sales,Cong fold/cyst post eye
857,Biostatistician II,Chondrocalcin NOS-hand
858,Mechanical Systems Engineer,Nervousness
859,Senior Quality Eng,Compartment syndrome NOS
860,Desktop Support Technician,Gc salpingitis (chronic)
861,Help Desk Operator,General medical exam NEC
862,Food Chemist,Horseback riding
863,Senior Quality Eng,Opn wnd scrot/test-compl
864,Editor,Cystitis NEC
865,Quality Engineer,Other lymphedema
866,Geological Engineer,Cl skull fx NEC-concuss
867,VP Sales,Thrombophlebitis migrans
868,Nuclear Power Engineer,Cheyne-stokes respiratn
869,Information Systems Manager,Central pterygium
870,Health Coach III,Artic cartil dis-forearm
871,Human Resources Assistant II,Sezary's disease pelvic
872,Marketing Manager,Cutan leishmanias asian
873,Biostatistician II,Leg ab w compl NEC-inc
874,Geological Engineer,Spastic entropion
875,Geologist III,Leg ab w compl NEC-comp
876,Office Assistant III,Mal neo ant 2/3 tongue
877,Structural Analysis Engineer,Hx-health hazard NOS
878,Research Nurse,Bipol I manic-sev w psy
879,Structural Analysis Engineer,Cl skull fx NEC-concuss
880,Geologist IV,Adv eff blood agent NEC
881,VP Sales,Sezary's disease pelvic
882,Research Nurse,Colon injury NOS-closed
883,Safety Technician III,Compartment syndrome NOS
884,Recruiter,Nervousness
885,Geological Engineer,Sprain of pelvis
886,Nuclear Power Engineer,Gc salpingitis (chronic)
887,Desktop Support Technician,Legal abor w hemorr-unsp
888,Human Resources Assistant II,Cheyne-stokes respiratn
889,Geological Engineer,Amebic brain abscess
890,Food Chemist,Opn subdur hem-prol coma
891,Mechanical Systems Engineer,Cong fold/cyst post eye
892,Accounting Assistant IV,Cong fold/cyst post eye
893,Accounting Assistant IV,Leg ab w compl NEC-inc
894,Accounting Assistant IV,Sezary's disease pelvic
895,Office Assistant III,Sezary's disease pelvic
896,Recruiter,Mal neo ant 2/3 tongue
897,Senior Developer,Colon injury NOS-closed
898,Recruiter,Leg ab w compl NEC-comp
899,Recruiter,Cong fold/cyst post eye
900,Information Systems Manager,Legal abor w hemorr-unsp
901,Biostatistician II,Suppurativ labyrinthitis
902,Geological Engineer,Cong fold/cyst post eye
903,Quality Engineer,Gc salpingitis (chronic)
904,Senior Quality Eng,Hx-health hazard NOS
905,Health Coach III,Gc salpingitis (chronic)
906,Accountant III,Opn wnd lary w trac-comp
907,Statistician IV,Mal neo ant 2/3 tongue
908,Quality Engineer,Opn wnd lary w trac-comp
909,Statistician IV,Acc d/t weightless envir
910,Developer II,Sprain of pelvis
911,Health Coach III,Leg ab w compl NEC-inc
912,Food Chemist,Compartment syndrome NOS
913,Help Desk Operator,Hx-health hazard NOS
914,Accountant III,General medical exam NEC
915,Developer III,Nervousness
916,Developer II,Acc d/t weightless envir
917,Quality Engineer,Legal abor w hemorr-unsp
918,Technical Writer,Opn wnd scrot/test-compl
919,Nuclear Power Engineer,Cl skull fx NEC-concuss
920,Nuclear Power Engineer,Cong fold/cyst post eye
921,Geological Engineer,Sprain of pelvis
922,Information Systems Manager,Mal neo ant 2/3 tongue
923,Geologist III,Suppurativ labyrinthitis
924,Nuclear Power Engineer,Other lymphedema
925,Help Desk Operator,Resp cond dt smoke inhal
926,Geologist IV,Sezary's disease pelvic
927,Sales Associate,Bipol I manic-sev w psy
928,Developer III,General medical exam NEC
929,Desktop Support Technician,Cong fold/cyst post eye
930,Structural Analysis Engineer,Horseback riding
931,Statistician IV,Resp cond dt smoke inhal
932,Analog Circuit Design manager,Thrombophlebitis migrans
933,Occupational Therapist,Hx-health hazard NOS
934,Food Chemist,Nervousness
935,Information Systems Manager,Cong fold/cyst post eye
936,Biostatistician II,Sezary's disease pelvic
937,Desktop Support Technician,Mal neo ant 2/3 tongue
938,Accounting Assistant IV,Cl skull fx NEC-concuss
939,Accounting Assistant IV,Legal abor w hemorr-unsp
940,Structural Analysis Engineer,Poor fetal grth-antepart
941,Mechanical Systems Engineer,Legal abor w hemorr-unsp
942,Dental Hygienist,Mal neo ant 2/3 tongue
943,Desktop Support Technician,Sezary's disease pelvic
944,Developer III,General medical exam NEC
945,Biostatistician II,Other lymphedema
946,Accountant III,Hx-health hazard NOS
947,Quality Engineer,Acc d/t weightless envir
948,Geological Engineer,Suppurativ labyrinthitis
949,Help Desk Operator,Opn wnd scrot/test-compl
950,Accountant III,Sezary's disease pelvic
951,Developer III,Sprain of pelvis
952,Structural Analysis Engineer,Adv eff blood agent NEC
953,Dental Hygienist,Leg ab w compl NEC-inc
954,Statistician IV,Compartment syndrome NOS
955,Safety Technician III,Sprain of pelvis
956,Marketing Manager,Compartment syndrome NOS
957,Developer III,Adv eff blood agent NEC
958,Accounting Assistant IV,Suppurativ labyrinthitis
959,Developer III,Artic cartil dis-forearm
960,Safety Technician III,Resp cond dt smoke inhal
961,Clinical Specialist,Cutan leishmanias asian
962,Quality Engineer,Opn wnd scrot/test-compl
963,Office Assistant III,Hx-health hazard NOS
964,Statistician IV,Other lymphedema
965,Recruiter,Chondrocalcin NOS-hand
966,Analog Circuit Design manager,Nervousness
967,Research Nurse,Nervousness
968,Recruiter,Leg ab w compl NEC-inc
969,Health Coach III,Opn subdur hem-prol coma
970,Geologist IV,Cystitis NEC
971,Biostatistician II,Leg ab w compl NEC-inc
972,Research Nurse,Leg ab w compl NEC-inc
973,Sales Associate,Mal neo ant 2/3 tongue
974,Mechanical Systems Engineer,Amebic brain abscess
975,Nuclear Power Engineer,Mal neo ant 2/3 tongue
976,Editor,Sprain of pelvis
977,Analog Circuit Design manager,Chondrocalcin NOS-hand
978,Occupational Therapist,Bipol I manic-sev w psy
979,Senior Quality Eng,Leg ab w compl NEC-inc
980,Accounting Assistant IV,Central pterygium
981,Office Assistant III,Opn subdur hem-prol coma
982,Occupational Therapist,Spastic entropion
983,Office Assistant III,Leg ab w compl NEC-comp
984,Senior Developer,Leg ab w compl NEC-comp
985,Desktop Support Technician,Leg ab w compl NEC-comp
986,Geologist IV,Bipol I manic-sev w psy
987,Human Resources Assistant II,Nervousness
988,Sales Associate,Bipol I manic-sev w psy
989,Sales Associate,Nervousness
990,Desktop Support Technician,Opn subdur hem-prol coma
991,Geological Engineer,Horseback riding
992,Help Desk Operator,Cystitis NEC
993,VP Sales,Chondrocalcin NOS-hand
994,Research Nurse,Adv eff blood agent NEC
995,Geologist IV,Sezary's disease pelvic
996,Statistician IV,Poor fetal grth-antepart
997,Desktop Support Technician,Cl skull fx NEC-concuss
998,Geological Engineer,Sprain of pelvis
999,Geologist III,Suppurativ labyrinthitis
1000,Editor,Amebic brain abscess
