training_category_id ,training_category_name ,training_category_explain 
616,Pharmacist,"Stress reaction, fugue"
617,Electrical Engineer,Abn reac-organ rem NEC
618,Design Engineer,Dermatophytosis site NOS
619,Electrical Engineer,Recur manic dis-unspec
620,Biostatistician IV,Appendico-vesicos status
621,Civil Engineer,Snow veh acc-motorcycl
622,Media Manager III,Sprain interphalang toe
623,Pharmacist,Salivary gland abscess
624,Cost Accountant,Herpetic septicemia
625,Nurse Practicioner,Neuropathy in other dis
626,Software Engineer IV,Insect bite foot/toe
627,Statistician IV,Cryst arthrop NEC-shlder
628,Programmer Analyst I,Sqam cell ca skn low lmb
629,Compensation Analyst,Burn NOS arm-unspec
630,Office Assistant IV,Acute gouty arthropathy
631,Web Designer I,Dysthymic disorder
632,Engineer II,"Fx clavicl, acrom end-cl"
633,Compensation Analyst,Mal carcnoid hindgut NOS
634,Staff Accountant III,Injury palmar artery
635,Tax Accountant,1st deg burn finger
636,Librarian,Total perf tympanic memb
637,Registered Nurse,Mat comp in utro-del-p/p
638,VP Sales,Aortic aneurysm NOS
639,Information Systems Manager,Fall on level NEC/NOS
640,Environmental Tech,70-79% bdy brn/3 deg NOS
641,Human Resources Manager,Acc poisn-anticholinerg
642,Graphic Designer,Insuff anterior guidance
643,Research Assistant I,Dicalc phos cryst-l/leg
644,Staff Accountant I,Dsct of aorta unsp site
645,Civil Engineer,Pulm compl in del-deliv
646,Web Designer II,Pois-antineopl/immunosup
647,Account Coordinator,Hunting rifle accident
648,Chemical Engineer,Angio stm/dudn w hmrhg
649,Health Coach II,Heredit hemochromatosis
650,General Manager,Artificial insemination
651,Web Developer IV,Illeg ab w pelv inf-unsp
652,Biostatistician III,Late effct cmplcatn preg
653,Quality Control Specialist,Ulceratve colitis unspcf
654,Food Chemist,Opt chiasm w vascul dis
655,Software Consultant,Wrong fluid in infusion
656,Human Resources Manager,Pulmon TB NEC-oth test
657,Quality Engineer,Histoplasmosis endocard
658,Food Chemist,Alteration of sensations
659,Chemical Engineer,Injury renal vessel NEC
660,Tax Accountant,Coxsackie virus inf NOS
661,Chief Design Engineer,Lt ef oth parals non-dom
662,Chief Design Engineer,Other esophagitis
663,Chemical Engineer,Lactat dis NOS-postpart
664,Budget/Accounting Analyst IV,Nervous syst complc NOS
665,Executive Secretary,Mastitis-postpartum
666,Graphic Designer,Opn wnd lary w trac-comp
667,Librarian,Nontox multinodul goiter
668,Recruiter,Excess fet grth-antepart
669,Marketing Assistant,Brain hem open-mod coma
670,Cost Accountant,Joint symptom NEC-ankle
671,Civil Engineer,Cholelith/gb inf NEC-obs
672,Office Assistant II,Monoc exotrop w v pattrn
673,Librarian,Edema of eyelid
674,Clinical Specialist,Resp system disease NEC
675,Social Worker,Polymyalgia rheumatica
676,Quality Control Specialist,"AMI lateral NEC, subseq"
677,Geological Engineer,Middle ear anomaly NEC
678,Payment Adjustment Coordinator,Chronic nephritis NOS
679,Technical Writer,2nd deg burn hand NOS
680,Health Coach III,Spon labr w plan C/S-del
681,Recruiter,Fx sacr-cl/cauda inj NEC
682,Media Manager III,Pseudoexfol lens capsule
683,Structural Engineer,Salmonella osteomyelitis
684,Computer Systems Analyst I,Infestation NOS
685,Clinical Specialist,Mucosits d/t antineo rx
686,Marketing Manager,Late eff FB in orifice
687,Research Nurse,DMII keto nt st uncntrld
688,Administrative Assistant II,Adv eff plague vaccine
689,Accounting Assistant IV,Lipoma NEC
690,Statistician I,Lacer of cervix-postpart
691,Account Executive,Dislocat sacrum-open
692,Cost Accountant,Cachexia
693,Programmer Analyst III,Oth func dsdr bladder
694,Staff Scientist,Adv eff enzymes NEC
695,Environmental Tech,Duodenal ulcer NOS-obstr
696,Design Engineer,Trans arthropathy-unspec
697,Technical Writer,Cerebral cortx contusion
698,Project Manager,Mycosis fungoides inguin
699,Software Engineer IV,Breast dis NEC-antepart
700,Senior Cost Accountant,Extradural hem-coma NOS
701,Staff Accountant II,Hodgkins mix cell head
702,Paralegal,Ill-defined eye dis NEC
703,Accountant IV,Dis carbohydr metab NEC
704,Nurse Practicioner,Bronchiectas w/o ac exac
705,Cost Accountant,Incomptnce rectovag tiss
706,Financial Advisor,Injury to nerve NEC
707,Biostatistician II,2nd deg burn lower leg
708,Electrical Engineer,Vaccin for smallpox
709,Occupational Therapist,Mal neo endocrine NEC
710,Nuclear Power Engineer,3rd deg burn chin
711,VP Sales,Fem genital mutilate NEC
712,Desktop Support Technician,Poison-utility gas NEC
713,Sales Representative,Fracture ulna NOS-closed
714,Executive Secretary,Pyogen arthritis-mult
715,Project Manager,Eosinophilc gastrt w hem
716,VP Marketing,Late ef-hemiplga non-dom
717,Structural Engineer,Hairy-cell leukem pelvic
718,Biostatistician II,Contusion of finger
719,Software Engineer I,Dipetalonemiasis
720,Executive Secretary,Retrovert uterus-unspec
721,Legal Assistant,Burn NOS
722,Information Systems Manager,Acc pois-carbn monox NOS
723,Systems Administrator I,Rheumat aortic stenosis
724,Staff Accountant I,Illeg abort w shock-inc
725,Data Coordinator,Sec DM other uncontrld
726,Developer I,Opn wnd ant abdomen-comp
727,Administrative Assistant I,Pseudomonas enteritis
728,Actuary,Polyglandul dysfunc NEC
729,Staff Accountant III,Non-abo incomp/HTR NEC
730,Sales Associate,Nonrupt cerebral aneurym
731,Actuary,Pelv fx-cl w/o plv disrp
732,Junior Executive,Pharyngeal anomaly NEC
733,Mechanical Systems Engineer,Somatic dysfunction NEC
734,Research Associate,Hang gliding
735,Budget/Accounting Analyst III,Ben neo soft tis thorax
736,Compensation Analyst,Extradur hem-proln coma
737,GIS Technical Architect,Adv eff lipotropic drugs
738,Financial Analyst,Hx of monocytic leukemia
739,Professor,"Pancreas, body inj-close"
740,Graphic Designer,Lung involv in oth dis
741,Registered Nurse,Prim uter inert-antepart
742,Account Executive,Unsocial aggression-mild
743,Editor,Foreign body in ear
744,Sales Representative,Brain injury w opn wnd
745,Help Desk Technician,Hemangioma intracranial
746,Chemical Engineer,"Comp edentulism,class IV"
747,Automation Specialist II,Artic cartil dis-up/arm
748,Compensation Analyst,Clostridium perfringens
749,Marketing Assistant,Angina pectoris NEC/NOS
750,Recruiter,Path fx dstl radius ulna
751,Clinical Specialist,Derang med meniscus NEC
752,Operator,Congenital coxa vara
753,Project Manager,Psychogen endocrine dis
754,Web Developer III,Fetal chromos abn-unspec
755,Structural Engineer,Intrathorac inj NEC-open
756,Software Test Engineer II,Deliver-single stillborn
757,Budget/Accounting Analyst IV,Postabortion compl NEC
758,Junior Executive,Inj super mesenteric art
759,Statistician IV,Transient met dis NB NOS
760,Research Assistant III,Strongyloidiasis
761,Help Desk Technician,Pigmentary glaucoma
762,Software Test Engineer IV,Adv eff loc anti-infectv
763,Senior Developer,Adhesive pericarditis
764,Cost Accountant,Spon abort w hemorr-inc
765,Research Associate,Cl skull fx NEC-coma NOS
766,Automation Specialist III,Status cardc dvce unspcf
767,Automation Specialist IV,Hemarthrosis-up/arm
768,Cost Accountant,Idiopathic osteoporosis
769,VP Product Management,Fet damg d/t dis-unspec
770,Systems Administrator IV,Opn wnd genital NEC-comp
771,Help Desk Technician,Empyema with fistula
772,Tax Accountant,Ca in situ skin lip
773,Recruiting Manager,Pinta intermed lesions
774,Professor,Poisoning-acidifying agt
775,Teacher,Dis amino-acid metab NEC
776,Operator,Cocaine abuse-in remiss
777,Product Engineer,Supervis normal 1st preg
778,Assistant Media Planner,Inflam/tox neuropthy NOS
779,Occupational Therapist,Lower urin calcul NOS
780,Health Coach IV,Peritoneal effusion
781,Registered Nurse,Neonatal infec mastitis
782,Physical Therapy Assistant,Open wound of scapula
783,Biostatistician II,Triplet pregnancy-deliv
784,Analyst Programmer,Nonpsych mntl disord NEC
785,Developer IV,Genetc sus mult endo neo
786,Product Engineer,"Injury-burn, fire"
787,Staff Scientist,Chr persistent hepatitis
788,Structural Analysis Engineer,Cnsl perp parent chld ab
789,Quality Engineer,Retain plac NOS-postpart
790,Mechanical Systems Engineer,Hx of alcoholism
791,Human Resources Manager,Rubella complication NOS
792,Marketing Manager,Opn cort contu-deep coma
793,Structural Analysis Engineer,Late eff cns abscess
794,Software Test Engineer IV,Perforat tympan memb NOS
795,Accountant IV,Mal carcinoid sig colon
796,Sales Representative,Househld maintenance NEC
797,General Manager,Diabetes-antepartum
798,Research Assistant I,Aftrcre path fx bone NEC
799,Database Administrator I,Hodg nodul sclero axilla
800,Occupational Therapist,Frisbee
801,Librarian,Primary cerebellar degen
802,VP Accounting,"Hernia, site NEC w gangr"
803,Assistant Manager,Poison-hair/scalp prep
804,Financial Analyst,Acute interstitial pneum
805,Office Assistant IV,Sprain sacrospinatus
806,Programmer III,C1-c4 fx-cl/cen cord syn
807,Administrative Assistant I,Abn kidney funct study
808,Analyst Programmer,Ob trauma NEC-postpartum
809,Occupational Therapist,Burn internal organ NEC
810,Data Coordinator,Opn wnd lat abdomen-comp
811,Junior Executive,Genital prolapse NOS
812,Biostatistician I,Malposition of heart
813,Electrical Engineer,Ac stomac ulc w hem/perf
814,Geological Engineer,TB lung infiltr-unspec
815,Accounting Assistant III,Impulse control dis NEC
816,Research Associate,Cerebel contus-prol coma
817,Administrative Assistant II,Gastric diverticulum
818,Pharmacist,Blister head-infected
819,Paralegal,"Sports,athletics NEC"
820,Environmental Specialist,Anisakiasis
821,Assistant Manager,Monoc exotrop w v pattrn
822,Systems Administrator I,Adv eff diuretics NEC
823,Senior Developer,Fall-occ spacecraft
824,Staff Scientist,Screen-gentc dis carrier
825,Editor,Adv eff oxazolidin deriv
826,Mechanical Systems Engineer,Ear anomalies NEC
827,Accounting Assistant IV,Indus veh acc on premise
828,VP Sales,Open wound breast-compl
829,Actuary,Contusion scapul region
830,Desktop Support Technician,Dislocat sternum-closed
831,Statistician II,Cerebel contus-deep coma
832,Web Developer III,Status autm crd dfbrltr
833,Help Desk Technician,Mal hy ht/kd st V w/o hf
834,Librarian,Subdural hem w/o coma
835,Operator,Trichinosis
836,Geological Engineer,Late congen syph NOS
837,Marketing Manager,Abn involun movement NEC
838,Chief Design Engineer,Laboratory exam NOS
839,Occupational Therapist,Stomach function dis NOS
840,Mechanical Systems Engineer,Derang post med meniscus
841,Nurse Practicioner,Mult pregnancy aff NB
842,Dental Hygienist,Inj superior mesent vein
843,Quality Engineer,Spon abort w embol-unsp
844,Office Assistant IV,"Pressure ulcer,stage NOS"
845,VP Marketing,Renal hyperten-del p/p
846,Media Manager II,"Twin, mate lb-before adm"
847,Speech Pathologist,TB peritonitis-exam unkn
848,Senior Quality Engineer,Mal neo cheek mucosa
849,Staff Scientist,Oth off-road mv-mcyc psg
850,VP Quality Control,Post disloc humerus-open
851,Financial Analyst,Severe sepsis
852,Information Systems Manager,Choroidal hemorrhage NOS
853,Community Outreach Specialist,Excess attrition-local
854,Social Worker,Orbital cysts
855,Administrative Assistant I,Schizoaffectve dis-remis
856,Human Resources Manager,"Urin-genital fistul, fem"
857,Civil Engineer,Gangr incisional hernia
858,Software Engineer IV,Chr proliferat nephritis
859,Research Associate,Saddle embol pulmon art
860,Computer Systems Analyst IV,Adv eff skin agent NEC
861,Senior Financial Analyst,Primary CNS lymph xtrndl
862,Financial Advisor,Placenta prev hem-deliv
863,Graphic Designer,Atrophy mandible-minimal
864,Physical Therapy Assistant,Unc behav neo testis
865,Nurse,War inj:nuclear rad eff
866,Quality Control Specialist,Opn skul/oth fx-brf coma
867,Senior Sales Associate,Vaginitis NOS
868,Biostatistician II,Multiple sclerosis
869,Mechanical Systems Engineer,War inj:nucl weapon NOS
870,Speech Pathologist,Adv eff systemic agt NOS
871,Research Nurse,C1-c4 fx-op/com cord les
872,Analyst Programmer,Sprain sacrotuberous
873,Software Test Engineer III,Other vd-postpartum
874,Health Coach II,Ca in situ trachea
875,Junior Executive,Mild/NOS preeclamp-unsp
876,Civil Engineer,Inj nerve root/plex NOS
877,General Manager,3rd deg burn genitalia
878,Web Designer IV,Hx-malign nerve syst NEC
879,Geological Engineer,Acc poison-hallucinogens
880,Systems Administrator I,Poisoning by cocaine
881,Technical Writer,Open wound of axilla
882,Internal Auditor,Open wound elbow-complic
883,Data Coordinator,Renal artery hyperplasia
884,Actuary,Mycotic arthritis-shlder
885,Senior Cost Accountant,TB fem gen NEC-cult dx
886,Structural Analysis Engineer,Hodgkins sarcoma mult
887,VP Quality Control,Observ-suspect TB
888,Occupational Therapist,Hodg lymph deplet abdom
889,VP Quality Control,Mal neo soft tis thorax
890,Professor,3rd deg burn genitalia
891,Senior Editor,Screen for skin cond
892,Budget/Accounting Analyst IV,Ventricular fibrillation
893,Actuary,Polio osteopathy-up/arm
894,Senior Cost Accountant,Org or tissue donor NOS
895,Registered Nurse,Flu dt nvl A vrs w pneu
896,Editor,Varicella contact/exp
897,Environmental Specialist,Prim pulm hypertension
898,General Manager,Tight hymenal ring
899,Research Nurse,Merkel cell ca-oth sites
900,Nuclear Power Engineer,Polyarthritis NOS-unspec
901,Accounting Assistant I,Takotsubo syndrome
902,Data Coordinator,Helicobacter pylori
903,Budget/Accounting Analyst II,One eye-mod/oth normal
904,Dental Hygienist,Foreign body bronchus
905,Director of Sales,Sec neuroendo tumor NOS
906,General Manager,Blasting materials accid
907,Analog Circuit Design manager,Knitting & crocheting
908,Computer Systems Analyst IV,Fx radius head-closed
909,Design Engineer,Late ef CV dis dysphagia
910,Senior Developer,Benign neoplasm eye NEC
911,Nurse,Acc d/t avalanche
912,Nurse Practicioner,Fx c3 vertebra-closed
913,Tax Accountant,Pap smr vag-cytol malig
914,Operator,Open wound gum-compl
915,Payment Adjustment Coordinator,Edema in preg-unspec
916,Analog Circuit Design manager,Abort NOS w pel inf-inc
917,Programmer Analyst III,Hernia NEC
918,Automation Specialist IV,Paralytic ptosis
919,Financial Analyst,Behcet arthritis NEC
920,Editor,Compl deliv NOS-postpart
921,Graphic Designer,Acetonuria
922,Nurse Practicioner,Cystostomy status NEC
923,Accountant IV,Jumping rope
924,Data Coordinator,Family hx-breast malig
925,Marketing Assistant,Screen for helminthiasis
926,Analog Circuit Design manager,Late congen syph symptom
927,Internal Auditor,Sbc leu un cl wo ah rmsn
928,Financial Analyst,2nd deg burn shoulder
929,Actuary,Ac osteomyelitis-hand
930,Financial Analyst,Kaschin-beck dis-pelvis
931,Environmental Specialist,Reentrant mv coll-pasngr
932,Administrative Officer,Acq ankle-foot def NEC
933,Developer III,Facial weakness
934,Human Resources Assistant IV,Glaucoma w tumor or cyst
935,Systems Administrator III,"Actv Meniere, vestibular"
936,Chief Design Engineer,Ob trauma NEC-unspec
937,Accountant I,Kyphosis NEC
938,Payment Adjustment Coordinator,Blood diseases NEC
939,Teacher,Angio stm/dudn w/o hmrhg
940,Compensation Analyst,Mastitis-delivered
941,Accountant I,"Fx clavic, acrom end-opn"
942,Internal Auditor,Cutan leishmanias urban
943,Research Nurse,Septicem in labor-deliv
944,Cost Accountant,Piano playing
945,Health Coach IV,Meningococc arthropathy
946,Safety Technician IV,Postcatheter forgn body
947,Tax Accountant,Postconcussion syndrome
948,Sales Representative,Malignant neo trachea
949,Accounting Assistant III,Disorders of choroid NEC
950,Tax Accountant,Contusion of hand(s)
951,Senior Editor,Aircrft acc NOS-pers NEC
952,Operator,Kaschin-beck dis-l/leg
953,Accountant IV,Thrombosis NEC-antepart
954,Junior Executive,TB of thyroid-no exam
955,Associate Professor,Leg ab w compl NEC-unsp
956,Director of Sales,Insect bite foot/toe
957,Marketing Manager,Comp-nerv sys dev/graft
958,Research Associate,Paraphrenia
959,Assistant Media Planner,Dvrtclo sml int w/o hmrg
960,Payment Adjustment Coordinator,Hi grde myelodys syn les
961,Account Executive,Flncy dsord cond elsewhr
962,Help Desk Technician,TB thoracic nodes-unspec
963,Dental Hygienist,Mal neo endocrine NOS
964,Senior Cost Accountant,Contamination NEC
965,Human Resources Manager,Ascending colon inj-clos
966,Account Executive,"Team sports,athletes"
967,Technical Writer,Pois antidepressants NEC
968,Marketing Assistant,Fetal abnorm NEC-deliver
969,Quality Control Specialist,Obstruct/fet malpos-unsp
970,Programmer IV,Ot sp hmiplga unspf side
971,Staff Scientist,31-32 comp wks gestation
972,Geological Engineer,Cl skul w oth fx-concuss
973,Quality Control Specialist,Observ-work accident
974,Environmental Specialist,Screen-mycotic infect
975,Help Desk Technician,DMI unspf uncntrld
976,Database Administrator IV,Gc infect anus & rectum
977,Senior Developer,TB lung fibros-exam unkn
978,Structural Engineer,Dysenter arthrit-up/arm
979,Sales Associate,Malig neo frontal lobe
980,Account Coordinator,Chagas disease NOS
981,Tax Accountant,Nasal bone fx-open
982,Quality Control Specialist,Cerebvas dis-deliv w p/p
983,Database Administrator II,RR coll NOS-person NEC
984,General Manager,Allerg arthritis-unspec
985,Staff Accountant II,TB of hip-oth test
986,Human Resources Manager,Renal agenesis
987,Senior Quality Engineer,Smallpox NOS
988,Research Nurse,Fx up ulna NEC/NOS-open
989,Analyst Programmer,Alveolar maxil hyprplsia
990,Technical Writer,Fall on stair/step NEC
991,Physical Therapy Assistant,War inj:indir nucl weapn
992,Account Executive,Mal neo peritoneum NEC
993,Technical Writer,Nonpsychot brain syn NOS
994,Safety Technician IV,Mgkrcyt leuk wo ach rmsn
995,Senior Developer,Alternating hyperphoria
996,Office Assistant II,Ocl art NOS wo infrct
997,Nuclear Power Engineer,Aneurysm NEC
998,Automation Specialist I,Mal hy ht/kd st V w/o hf
999,Director of Sales,Ac myl leuk wo achv rmsn
1000,Human Resources Assistant I,Mal histiocytosis axilla
