tax_identification_number ,identification_type ,issuing_agency 
3,Health,Gusikowski Inc
25,Jewelry,Effertz-Rodriguez
80,Beauty,Mosciski LLC
58,Automotive,Kirlin-Grimes
30,Movies,Smith-Bosco
77,Books,"Green, Labadie and Metz"
90,Automotive,Miller LLC
33,Toys,Windler LLC
30,Tools,Jacobs and Sons
56,Movies,Bechtelar LLC
60,Movies,Hammes-Feil
43,Jewelry,Hermann LLC
59,Computers,Kirlin-Jenkins
47,Movies,Hermiston-Franecki
59,Baby,"Bartoletti, Stracke and Keeling"
55,Books,Franecki-Schneider
56,Kids,"Anderson, Hansen and Crist"
82,Outdoors,"Tromp, Wolff and Weber"
41,Shoes,Reinger and Sons
26,Baby,"Walsh, Wunsch and Harris"
2,Kids,"Reinger, Tremblay and Rogahn"
76,Outdoors,Hintz LLC
20,Books,Glover Inc
6,Toys,Kris and Sons
21,Grocery,"Collins, Lemke and Kassulke"
66,Industrial,"Torp, King and Keeling"
7,Electronics,Brakus-Trantow
35,Books,Kohler-Padberg
38,Health,"Bailey, Feeney and Harber"
93,Health,Gibson Group
50,Music,Ullrich Group
57,Music,Reynolds-Bergstrom
24,Beauty,Reichert and Sons
71,Games,Gulgowski-Quigley
10,Baby,Gleason LLC
15,Jewelry,"Wisozk, Prosacco and Walker"
1,Industrial,"Bashirian, Yost and Schaden"
92,Games,Donnelly-Gusikowski
31,Sports,"Green, Gleichner and Roob"
94,Clothing,Grant Inc
79,Automotive,Hahn-Ernser
38,Movies,Willms-Beahan
91,Sports,Bahringer-Altenwerth
82,Garden,Muller-Ondricka
15,Automotive,"Ernser, Miller and Bechtelar"
77,Kids,Pagac-Okuneva
52,Computers,Reilly Group
38,Beauty,"O'Kon, Hahn and King"
34,Games,"Lesch, Hahn and Huels"
43,Health,Barrows and Sons
94,Sports,Heller LLC
79,Tools,O'Keefe LLC
57,Jewelry,"Lowe, Roberts and Hane"
60,Shoes,"Mayert, Schuster and Oberbrunner"
37,Jewelry,"Hammes, Rohan and Morissette"
32,Health,Casper Group
28,Books,Kuvalis-Kirlin
14,Automotive,Jacobson-Mohr
35,Baby,"Hilpert, Conroy and Moore"
45,Grocery,Stark-Mueller
26,Industrial,Rau-Franecki
66,Computers,Mosciski Group
6,Sports,Ziemann-Turcotte
34,Automotive,Stanton-Hane
49,Movies,Mante-Koch
29,Books,"Schaefer, Aufderhar and Yost"
67,Automotive,"Johns, Casper and Conroy"
30,Jewelry,Goldner-Feil
56,Grocery,Terry-Gislason
76,Kids,"Hermann, Herzog and Hammes"
30,Outdoors,Brakus-Purdy
76,Jewelry,"Beatty, Trantow and Wilderman"
41,Shoes,Harvey and Sons
98,Shoes,Toy Inc
93,Games,Adams-Herzog
36,Industrial,Zemlak-Ryan
12,Baby,Nienow Inc
18,Games,Douglas-Osinski
66,Kids,"Predovic, Brown and Cole"
87,Electronics,"Willms, Senger and Ferry"
8,Automotive,"Halvorson, Franecki and Dooley"
95,Baby,Feeney Inc
59,Industrial,Zemlak Group
65,Garden,"Wyman, Schmidt and Berge"
96,Sports,Hammes-Morissette
86,Automotive,Cassin-Gottlieb
72,Movies,Stracke-Berge
56,Music,"Barrows, Huels and Mitchell"
79,Baby,Metz-Orn
49,Clothing,Ebert-Jaskolski
62,Music,"Effertz, Hoppe and McClure"
43,Sports,Kertzmann-Borer
25,Movies,Terry Inc
98,Grocery,Gleason-Bruen
62,Outdoors,"Macejkovic, Feeney and Gislason"
98,Garden,"Casper, Ward and Quitzon"
52,Automotive,Boyer LLC
69,Tools,"Zulauf, Cronin and Boyer"
72,Garden,Hessel and Sons
13,Outdoors,Roberts Inc
65,Outdoors,Sanford Group
66,Clothing,Schinner-Mayert
49,Jewelry,Rowe Inc
82,Music,Windler Group
93,Movies,Schamberger LLC
75,Baby,"Armstrong, Jacobson and Corkery"
19,Baby,"Adams, Carter and Hudson"
31,Sports,Lueilwitz LLC
54,Grocery,"Douglas, Weissnat and Cartwright"
19,Toys,Prosacco-Conn
82,Toys,"Wisozk, Schumm and Bayer"
55,Garden,"Aufderhar, Bruen and Cummings"
77,Tools,Kassulke Inc
13,Music,Littel-Price
83,Industrial,"Lakin, Carroll and Wisozk"
82,Automotive,Willms-Zulauf
68,Garden,"Torphy, Considine and Abernathy"
89,Movies,Kirlin LLC
65,Kids,Morar-Kirlin
81,Electronics,"Gerhold, Rath and Skiles"
99,Grocery,Marks Group
24,Books,Spencer-Terry
55,Tools,"Beer, Shanahan and Quigley"
56,Books,"Kuphal, Auer and Beatty"
56,Tools,"Walter, Boyer and Beahan"
45,Sports,Lesch Group
45,Movies,"Bartell, Sauer and Wolf"
28,Games,"Metz, Towne and Fisher"
64,Toys,Pfeffer Group
59,Baby,Sanford-Price
13,Outdoors,Witting Group
60,Grocery,Graham-Macejkovic
37,Beauty,"Kuhic, Lebsack and Willms"
56,Electronics,Nader Inc
24,Grocery,"Towne, Torphy and Heller"
9,Baby,Swaniawski-Quigley
100,Clothing,Altenwerth-Stark
55,Industrial,Haag-Jones
23,Movies,"Konopelski, Zieme and Blanda"
40,Movies,Steuber Inc
10,Automotive,"Pollich, Rippin and Greenholt"
42,Computers,Hermann-Wisozk
27,Home,Kunze LLC
64,Sports,"Crona, Heathcote and Lakin"
83,Automotive,"Fisher, Klocko and Doyle"
65,Computers,"Walker, Bergstrom and Hintz"
5,Jewelry,Heller Group
64,Industrial,Adams-Weber
53,Toys,Hessel and Sons
4,Jewelry,"Koelpin, Kutch and Carroll"
48,Games,Shields-Deckow
91,Sports,"Lubowitz, Gulgowski and Greenfelder"
40,Outdoors,"O'Kon, Swift and Prosacco"
72,Computers,"Swift, Koepp and Huel"
82,Outdoors,"Dibbert, Simonis and Runolfsdottir"
35,Grocery,Gerlach-Christiansen
84,Home,Lindgren-Walker
72,Garden,Rohan-Johns
49,Shoes,"Littel, Jakubowski and Harber"
52,Jewelry,"Sauer, Schumm and Bechtelar"
58,Beauty,"Klocko, Feest and Kuvalis"
64,Automotive,Ernser LLC
4,Electronics,Rath-Auer
29,Jewelry,Koepp-Morissette
58,Tools,"Ward, Braun and Lubowitz"
33,Health,Emmerich-Jones
76,Industrial,"Rolfson, Shields and Feil"
62,Games,Krajcik-Bogisich
87,Computers,"Larkin, Buckridge and Walter"
58,Books,Wyman-Mosciski
72,Movies,Johns-Cruickshank
68,Baby,Abbott Inc
86,Grocery,Zulauf-Morar
90,Outdoors,"Parisian, Mohr and Homenick"
93,Garden,Rempel-Hudson
18,Automotive,Hermiston and Sons
63,Outdoors,Anderson-Waelchi
82,Baby,"Orn, Volkman and Hessel"
54,Home,Emmerich LLC
15,Toys,Dare and Sons
73,Automotive,Marvin and Sons
78,Music,Ziemann-McDermott
24,Music,Nolan and Sons
81,Baby,Grady and Sons
27,Computers,Jenkins LLC
26,Kids,Wolf-Wunsch
89,Home,"Vandervort, Funk and Powlowski"
79,Clothing,Conroy-Hilpert
40,Baby,"Johnson, Trantow and Ratke"
78,Home,Terry Inc
31,Jewelry,"Zboncak, Boyle and O'Connell"
36,Electronics,"Buckridge, Franecki and Funk"
59,Baby,Wyman-Towne
34,Grocery,Williamson Group
63,Toys,Bernhard LLC
85,Garden,O'Connell-Heaney
29,Clothing,Harvey-Koch
82,Home,"Breitenberg, Boehm and Satterfield"
90,Jewelry,Towne and Sons
54,Health,Reichert-Goldner
92,Shoes,Runte-O'Conner
87,Games,Connelly-Gerlach
60,Automotive,"Ward, Kozey and Nienow"
10,Home,Deckow-Gleason
35,Tools,"Friesen, Pfeffer and Volkman"
68,Shoes,"Ullrich, Mann and Little"
13,Jewelry,Leffler-Hermann
84,Music,Rath-Jenkins
34,Sports,Pacocha LLC
27,Garden,Dooley-Leannon
33,Industrial,Cassin-Ward
22,Clothing,D'Amore-Bogisich
5,Health,Grant-Rippin
16,Electronics,Blick-Rodriguez
85,Grocery,Bauch Inc
53,Toys,Braun Group
69,Music,"Wisozk, Rippin and Zieme"
98,Shoes,Moore Inc
26,Grocery,Frami and Sons
64,Baby,Powlowski-Green
62,Beauty,"Kovacek, Glover and Mante"
5,Beauty,Franecki-Fritsch
78,Movies,Hintz-Kilback
56,Tools,Senger-Maggio
90,Electronics,Kub-Mraz
82,Grocery,"Walter, Considine and Schmitt"
94,Grocery,"Vandervort, Harris and Hudson"
11,Books,O'Reilly Group
5,Toys,"Schaden, Green and Leannon"
24,Home,Goldner-Simonis
70,Health,"Wilkinson, Barton and Hudson"
69,Grocery,Heathcote-Herzog
28,Baby,Murray Group
95,Jewelry,"Mante, Buckridge and Sawayn"
9,Computers,Leffler-Muller
94,Tools,Erdman-Parker
52,Automotive,"Funk, Greenfelder and Hills"
19,Books,Goodwin LLC
94,Books,"Emmerich, Jaskolski and Hauck"
98,Beauty,Senger Group
