leave_type_id int ,leave_type_name ,leave_type_rules 
540,Indomethacin,TB limb bones-exam unkn
541,healthy accents ibuprofen,Inclusion body myositis
542,Tinidazole,Cryst arthrop NEC-ankle
543,Etomidate,Otosclerosis NEC
544,Procto-Pak,Poisoning-heroin
545,Propafenone,Cl skl w oth fx-brf coma
546,Prednisone,Osteoarthros NOS-shlder
547,Primidone,Act myel leuk in relapse
548,Flu Tonic,Aniridia
549,Antiseptic,3rd burn w loss-finger
550,OLANZAPINE,Pelvic congestion synd
551,Etodolac,Tuboplasty or vasoplasty
552,Metoprolol Tartrate,Breast dis NEC-antepart
553,SEROQUEL,Screen for filariasis
554,Kiehls Since 1851 Dermatologist Solutions Skin Tone Correcting and Beautifying BB Sunscreen,50-59% bdy brn/3 deg NOS
555,Hydrocodone Bitartrate And Acetaminophen,Contusion shoulder & arm
556,Dove,Prolong 1st stage-antepa
557,Topiramate,Mental problems NEC
558,CANDIDA ALBICANS,Suprv elderly primigrav
559,SERTRALINE HYDROCHLORIDE,Incomptnce pubocerv tiss
560,Extra Strength Backache Relief,Juv rheum arthritis NOS
561,Royal Petroleum (Cocoa Scent),Dis sup actnc porokrtsis
562,Ranitidine,Arthropod infest NEC
563,Lisinopril,Opn wound elbow w tendon
564,Endure 450,Dislocat foot NEC-open
565,CounterAct,Contusion of wrist
566,DR. BABOR DERMA CELLULAR Ultimate Firming Decollete Mask,Stridor
567,Eve Lom Radiance Lift Foundation SPF 15,RR coll NOS-pedestrian
568,SKIN CAVIAR CONCEALER FOUNDATION SUNSCREEN SPF 15 - Honey Beige,Excessive attrition NOS
569,Sulfamethoxazole and Trimethoprim,Cerebell lacer-deep coma
570,equaline pain relief,Ocular pemphigus
571,ALOE SUN BB,Status oth spcf crdc dvc
572,Longleaf Pine,Ot sp hmiplga unspf side
573,Neutrogena Nourishing Eye Quad,Olecranon bursitis
574,Ampicillin Trihydrate,Large cell lymph multip
575,naproxen sodium,Pyoderma gangrenosum
576,TINTED LIP CONDITIONER,React-periton dialy cath
577,Bisacody,Hypotension NEC
578,Nabumetone,Preg compl NOS-delivered
579,Everyday Clean,Peripheral vertigo NOS
580,Topcare DayTime,Convalescence NOS
581,SPASMODIC COUGH,Joint replaced knee
582,Depo-Provera,Musc disuse atrophy NEC
583,Jasmine 3D Moist,Papilledema w decr press
584,Gadavyt,Tuboplasty or vasoplasty
585,Nitrogen,Open wound hand w tendon
586,Intelence,Nephrogen diabetes insip
587,Hydroxychloroquine Sulfate,Leuk NOS w/o achv rmsn
588,CV,Inflamed sbrheic keratos
589,Citalopram Hydrobromide,Streptobacillary fever
590,Exchange Select Calcium Antacid,Adjust react-withdrawal
591,Gesticare DHA,Bone infec NOS-unsp site
592,ZYPREXA,Corneal deposit NOS
593,Timoptic,Gout w manifestation NEC
594,Dog Epithelium,Loss labyrn react unilat
595,Megestrol Acetate,C5-c7 fx-cl/cord inj NEC
596,GIANVI,Inf arthritis NEC-pelvis
597,Acetaminophen,Keratomalacia NOS
598,Miracle of Aloe Rub Roll On,Dicalc phos crys-forearm
599,Assured Instant Hand Sanitizer,Schizo NOS-chr/exacerb
600,Sulfamethoxazole and Trimethoprim,Ac idiopath pericarditis
601,Metoprolol Tartrate,Poison-sedat/hypnotic
602,Perfect Choice,Tetanus
603,Cetirizine Hydrochloride,Urogenital trichomon NOS
604,Leader All Day Allergy,Breast inf NEC-del w p/p
605,SENSAI CELLULAR PERFORMANCE WRINKLE REPAIR COLLAGENERGY,Interstitial myositis
606,CYMBALTA,Sec neuroendo tumor NOS
607,Star of Bethlehem,Issue of med certif NEC
608,Isopropyl Alcohol,Abuse by fther/stpfth/bf
609,Phenylephrine Hydrochloride,Acc poisoning-antimony
610,Dicloxacillin Sodium,Toxic effect strychnine
611,CALC FLUOR,Longitud defic radius
612,CLARINS BB Skin Perfecting Broad Spectrum SPF 25 Sunscreen 03 Dark,Osteoarthros NOS-ankle
613,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),Chronic laryngitis
614,No7 Stay Perfect Foundation Sunscreen SPF 15 Mocha,Bipol I curr dep w/o psy
615,Navane,T7-t12 spin cord inj NEC
616,TopCare Heartburn Relief,Ath ext ntv at w rst pn
617,Mapap,Cong abn uter preg-unsp
618,ziprasidone hydrochloride,Disease of nail NOS
619,Pain Relief PM,Estrogen recep neg stat
620,Cyclobenzaprine Hydrochloride,Narclpsy w/o cat oth dis
621,SENSORCAINE,Oth spcf hypoglycemia
622,Safe Harbor - Natural Anti-Aging Sunscreen Broad Spectrum SPF30 Sunscreen Sensitive Skin,Incipient cataract
623,Baclofen,War inj:fragments NEC
624,Salsalate,Venous compl NEC-deliver
625,Baclofen,Nail anomalies NEC
626,Octreotide Acetate,Contracept surveill NOS
627,TRAZODONE HYDROCHLORIDE,Opn skul vlt fx w/o coma
628,TYLENOL with Codeine,Hodgkins granulom pelvic
629,Nitrous Oxide,Ob trauma NOS-del w p/p
630,HEPAR SULPHURIS CALCAREUM,Diaphragmatic hernia
631,Venlafaxine,DMI oth nt st uncntrld
632,EO HAND SANITIZER,Cl skl vlt fx/br inj NEC
633,Regemarine,Ridden anim acc-pers NEC
634,Acetylcysteine,Matern urine dis aff NB
635,rx act anti diarrheal,Loc prim osteoart-l/leg
636,CVS Antibacterial Foaming,Kidney disruption-closed
637,Facilipro,Swelling of limb
638,oxaprozin,Insomn w sleep apnea NOS
639,Morphine Sulfate,Fm hx endo/metab dis NEC
640,Simvastatin,Hx-other food allergy
641,Diltiazem Hydrochloride,Fall from train-pers NEC
642,Lyrica,Optic atrph w retin dyst
643,Sildenafil,Mixed lymphosarc abdom
644,BencoCaine Topical Anesthetic,Fx femoral condyle-open
645,Lisa Frank Bubblegum Antiseptic Hand Cleansing,Histoplasma duboisii NOS
646,Acne Treatment,Cent retinal vein occlus
647,naproxen sodium,Traum arthropath-forearm
648,Kerasal PF-10,Ac polio NOS-type 1
649,SHISEIDO SHEER AND PERFECT COMPACT (REFILL),Candidiasis of lung
650,"Timothy, Standardized",Idio hypersom-no lng slp
651,Morphine Sulfate,Hodgkins mix cell inguin
652,Torsemide,Latent nystagmus
653,Montelukast Sodium,Poisoning-analeptics
654,SINGULAIR,Abn cardiovasc study NEC
655,Assured,Arthropod infest NEC
656,Tiazac Extended Release,Acc poisn-metabol agnt
657,Brotapp PE-DM Cough and Cold Liquid,Secondary syph skin
658,Promethazine Hydrochloride,Alcohol withdrawal
659,DEXEDRINE,Nontraum comp syn-up ext
660,ROCKY MOUNTAIN JUNIPER POLLEN,Mal mastocytosis inguin
661,Purell Sanitizing Hand Wipes,Fit/adj non-vsc cath NEC
662,Clindamycin Hydrochloride,Sleep disturbances NEC
663,Lyrica,Malign neopl clitoris
664,SyReflux,Dissociated nystagmus
665,Ciclopirox,Fetal mal 1250-1499g
666,equaline childrens pain and fever,Mlg mast unsp xtrndl org
667,all day relief,Osteomyelitis NOS-ankle
668,Everyday Face and body Broad Spectrum SPF 30,Dislocat sacrum-open
669,Biospec,Oth vehicle acc NEC
670,NITROGEN,Adv eff uric acid metab
671,triamcinolone acetonide,Adv eff ovarian hormones
672,Saline,Op skl fx NEC/br inj NEC
673,DG BODY,Primary iridocyclitis
674,Octreotide Acetate,Abn auditory percept NOS
675,Glytone Clarifying SunVanish with Sunscreen,RR acc NEC-ped cyclist
676,Canasa,NB interstit emphysema
677,"Butalbital, Acetaminophen and Caffeine",Suppur otitis media NOS
678,Phenylephrine Hydrochloride,Epilep NOS w/o intr epil
679,LISINOPRIL AND HYDROCHLOROTHIAZIDE,Mv coll w obj-ped cycl
680,Klor-Con,TB laryngitis-exam unkn
681,Oxcarbazepine,Sec hyprprthyrd nonrenal
682,CVS Oral Anesthetic,Conjunctival deposits
683,California Black Oak,Sprain shoulder/arm NOS
684,SELZENTRY,Sezary's disease axilla
685,Fentanyl,Brain death
686,Isopropyl alcohol Swabsticks,Amputation finger
687,Tranexamic Acid,Macular puckering
688,Hand Sanitizer,Undet circ-military arms
689,Rompe Pecho,Blister foot & toe-infec
690,Golden Fair Foundation SPF 15,Congenital heart block
691,Ban,"Trachoma, active stage"
692,Lithium Carbonate,3rd burn w loss-shoulder
693,4 SURE Plus E3 Instant Foam Hand Sanitizer,"BMI less than 19,adult"
694,Sore Throat,Oth coll stn obj-ped cyc
695,Loratadine,Colostomy status
696,MUCUS RELIEF DM,Acc poison-meat
697,Nevanac,Embryon cyst fem gen NEC
698,Mycophenolate Mofetil,Anaph react d/t ot serum
699,LODOSYN,Anomalies of lens shape
700,LEADER Triple Antibiotic,Foreign body head
701,RISPERIDONE,3rd deg burn hand NOS
702,AZITHROMYCIN,Ac allergic mucoid OM
703,Peach,Septal closure anom NOS
704,Cyclafem 7/7/7,W/crf stair fall-per NEC
705,Remedy Antimicrobial Cleanser,Oth col-stnd-obj-per NOS
706,Miconazole 3,Antidepress abuse-contin
707,Eczema,Chagas dis of oth organ
708,ARRID EXTRA DRY,Chr stom ulc hem/perf-ob
709,ACT Anticavity Fluoride Mint,Dis copper metabolism
710,Lithium Carbonate,Weaning from respirator
711,Glyburide and Metformin Hydrochloride,Inversion of uterus-unsp
712,Hydralazine Hydrochloride,Medulloadrenal hyperfunc
713,Head and Shoulders,Retain organic frag NEC
714,AcneFree Clear Skin Treatments,Assault-poisoning NOS
715,Eye Wash,Infection of kidney NOS
716,RANITIDINE,Unc behav neo pineal
717,Trazodone Hydrochloride,Acute iridocyclitis NOS
718,Levothyroxine sodium,Glanders
719,CHAETOMIUM GLOBOSUM,Deep 3rd deg burn ear
720,Sulwhasoo Lumitouch Base,Adv eff gamma globulin
721,Alendronate Sodium,Cl skul/oth fx-deep coma
722,Bambusa Rhus,Cystitis in oth dis
723,Rolaids Ultra Strength- Mint,War inj:WMD NOS
724,clindamycin phosphate and benzoyl peroxide,Acc poison-tear gas
725,Etodolac,SIRS-noninf w ac org dys
726,Gabapentin,Caregiving-bathing
727,Sertraline Hydrochloride,Adjustment reaction NEC
728,nite time,Ac margin ulc w hem/perf
729,Latanoprost,"Fx humer, lat condyl-opn"
730,Sertraline Hydrochloride,Intest helminthiasis NEC
731,alcohol,Fx cuboid-closed
732,Nystatin,Mixed malaria
733,Leg Cramp Relief,Cl skull fx NEC-coma NOS
734,Brace Relief,Benign neo carotid body
735,Degree,Sprain of sacrum
736,Levothyroxine Sodium,Simpl schizophren-subchr
737,Kroger,Neonat jaund in oth dis
738,Inflammation,Status oth spcf crdc dvc
739,Mr Dudleys Topical Pain Relief,Abn reac-organ rem NEC
740,SODIUM SULFACETAMIDE and SULFUR,Triplet gest 2+ monoamn
741,Acella Antipyrine and Benzocaine Otic,Emotional lability
742,Digoxin,Recur dislocat-up/arm
743,ZYRTEC-D,Ac peptic ulcer NOS-obst
744,GOONGSECRET BABY SUN,Opn skull fx NEC-concuss
745,Hemorrhoidal,Dorsal root injury
746,Acid Free-Flux,Puerp compl NOS-unspec
747,Gas Relief,Opn skull/oth fx-concuss
748,Gelato Neutral pH,Cl skl base fx-prol coma
749,Methocarbamol,War inj:con warfare NOS
750,ZINACEF,Deliver-single stillborn
751,AIM Whitening,Ant disloc hip NEC-clos
752,PHENADOZ,Ch emblsm subclav veins
753,PureLife APF,Prim TB pleurisy-cult dx
754,Fentanyl Citrate,Pupillary margin degen
755,FERRUM PHOSPHATE,Anoxic brain damage
756,Topcare Mucus Relief,3rd deg burn back
757,Amlodipine besylate/atorvastatin calcium,Renal vein thrombosis
758,Varibar Thin Liquid,General medical exam NEC
759,Head and Shoulders,Fracture one rib-closed
760,Multivitamin with fluoride,Third-stage hem-unspec
761,Cyclobenzaprine Hydrochloride,Straining on urination
762,Piperacillin and Tazobactam,Anal or rectal pain
763,PF ANTI-BACTERIAL HAND SANITIZING WIPES,2nd deg burn thigh
764,cold and cough,Batter by other relative
765,Extra Strength Pain Relief,Injury cranial nerve NOS
766,POTASSIUM CHLORIDE,Status amput below knee
767,NBE Citrus,Mth sus Stph aur els/NOS
768,CITY BASE COMPACT FOUNDATION,Mal neo skin low lmb NEC
769,Sepia comp.,Health exam-pop survey
770,AVODART,"AMI inferior wall, init"
771,ANTIBACTERIAL MINI WIPES Fresh Aloe,Opn skl/oth fx-deep coma
772,LEADER Chest Congestion Relief,Adjust disor/dis conduct
773,Promethazine Hydrochloride,Traumatic anuria
774,LBEL divine lip gloss SPF 15,Corneal grft malfunction
775,Wal-Zyr,"Ski,snow brd,sled,tobagn"
776,ondansetron hydrochloride,Trichiasis w/o entropion
777,Childrens Appetite Weight,Chron kidney dis stage V
778,Ondansetron Hydrochloride,Tear lat menisc knee-cur
779,Toxodetox,TB lung nodular-oth test
780,CRESTOR,Aseptic necrosis talus
781,Good Sense Nicotine,Abn ftl hrt rate/rhy-del
782,good sense cold remedy,Unspf acq deformity head
783,Listerine Essential Care,Unc behav neo pineal
784,NARS FOUNDATION,Open wnd ear drum-compl
785,Methocarbamol,Pseudoexfoliat glaucoma
786,Carvedilol,NB hypoxia
787,Tapioca,Villonod synovit-mult jt
788,Phosphorus comp.,Fourth nerve palsy
789,Metolazone,Disc degeneration NOS
790,Ibuprofen,Coronary artery anomaly
791,Equisteum Iris Rash Relief,Amphetamine abuse-unspec
792,Hydralazine Hydrochloride,Chr maxillary sinusitis
793,Amitriptyline Hydrochloride,Sezary's disease inguin
794,Polyethylene Glycol 3350,Opn skl/oth fx-deep coma
795,INSTANT HAND SANITIZER,Ankylosis-mult joints
796,Clonazepam,Reticulosarcoma abdom
797,Stool Softener,Abscess of thymus
798,risperidone,Adv eff antibiotic NOS
799,Good Neighbor Pharmacy loratadine d,Stomatits & mucosits NEC
800,Topiramate,Comb endocr dysfunct NEC
801,NiteTime,Preg compl NEC-del w p/p
802,Levofloxacin,Spondylos NOS w/o myelop
803,Sumatriptan,Neurohypophysis dis NEC
804,Sulindac,Thyrotox-ect nod w cris
805,Sulfasalazine,Margin zone lym inguin
806,Dove IS Fresh,Status autm crd dfbrltr
807,Metronidazole,Hearing conservatn/trtmt
808,TRIP-PSE,Congenital hiatus hernia
809,Anti-Bacterial Hand,Joint dis NOS-oth jt
810,amlodipine besylate,Lymphocytopenia
811,Haemonetics Additive Solution Formula 3 (AS-3),Obstetric shock-unspec
812,Vinorelbine tartrate,TMJ disorders NOS
813,Medline Alcohol Prep,Late eff viral encephal
814,HAND SANITIZER,Asy bacteruria-del w p/p
815,Neutrogena Healthy Skin Compact Makeup,Abn cardiovasc study NOS
816,Envirotox,Bipol I sing-sev w/o psy
817,Xopenex,Mal neo ventral tongue
818,Venoforce,Implantation cysts
819,Extra Strength Acetaminophen,Hemarthrosis-jt NEC
820,Methyldopa,Screen mal neop-rectum
821,DIGOX,Spina bifida
822,Amoxicillin,Mult ges w fet loss-ante
823,SEROQUEL,REM sleep behavior dis
824,CHERRY,W/crf stair fall-docker
825,GABITRIL,Frontal lobe syndrome
826,PERFECTION LUMIERE,Hemicrania continua
827,VITACILINA Bebe Diaper Rash,Acute periodontitis
828,Sodium Polystyrene Sulfonate,Sup glenoid labrm lesion
829,Athletes Foot,3rd deg burn palm
830,Kendall Antifungal,Poisoning-cholera vaccin
831,Zicam,Degeneration of eye NOS
832,Australian Gold,Burn NOS hand-unspec
833,BERRY BABY LIP BALM RED BERRY,Mal neo GI tract ill-def
834,Milk of Magnesia,Agoraphobia w panic dis
835,Covergirl Queen Collection All Day Flawless 3in1 Foundation,Stenosis of larynx
836,Dawn,Anesth compl NOS-deliver
837,Antibacterial Hand,Adenoviral meningitis
838,Mercaptopurine,Sprain iliofemoral
839,White Tetterine,Electr power generat acc
840,GAP Favorite Lip Balm,Forcep deliv NOS-deliver
841,Naturasil,Chromoblastomycosis
842,Spironolactone and Hydrochlorothiazide,Abrasion forearm-infect
843,Ondansetron,Human herpesvir 6 enceph
844,Peepsing,Galactorrhea-nonobstet
845,Alprazolam,Abn glucose toler-deliv
846,THE HISTORY OF WHOO GONGJINHYANG SEOL WHITENING SUN,Corneal dsdr contct lens
847,Lidocaine Hydrochloride,"Pressure ulcer, upr back"
848,Phylorinol,Nonpyogen thrombos sinus
849,Diltiazem Hydrochloride,Fem genetic test dis car
850,VITAL HP,Pyogen arthritis NEC
851,Cepacol Sensations,Pap smear vagina w HGSIL
852,Venlafaxine Hydrochloride,Dsct of thoracoabd aorta
853,Lidocaine Hydrochloride,Underweight
854,Pain Relief,Convergence excess
855,Methylphenidate Hydrochloride,Tubal/broad lig anom NOS
856,Dexamethasone Sodium Phosphate,Toxic effect benzene
857,shoprite acetaminophen,Symbolic dysfunction NEC
858,Jakemans Blueberry,Inj post tibial artery
859,Poly-Vent DM,RR collision NOS-employ
860,Tussin DM,Iatrogenic pneumothorax
861,Warfarin Sodium,Scrn risk preterm labor
862,BuPROPion Hydrochloride,TB fem gen NEC-exam unkn
863,Dicyclomine Hydrochloride,Ridden anim acc-pers NOS
864,kids cold,Keratoconjunctivitis NOS
865,Cattle Hair,Sprain sternoclavicular
866,All Day Moisturizing,Preterm infant NEC wtNOS
867,GELSEMIUM SEMPERVIRENS,C1-c4 fx-cl/ant cord syn
868,Be gone Smoking,Forearm deformity NOS
869,Ketoconazole,Edema of larynx
870,Vinorelbine,Open wnd forearm w tendn
871,Prunus Iron,Trnspl status-intestines
872,DAILY MOISTURIZING,Small intest inj NOS-opn
873,Medi Stem Collagen Ampoule,Clothing fire NOS
874,Multi Vitamin with Fluoride,Psychophysic visual dist
875,Phenytek,Thalassemia minor
876,Clindamycin Hydrochloride,Pap smear anus w LGSIL
877,Sotalol Hydrochloride,Brain hem opn w/o coma
878,NARS FOUNDATION,Insect bite hip & leg
879,Hot Spot,Renal failure NOS
880,Vancomycin Hydrochloride,Fx shaft forearm NOS-opn
881,BareMinerals Medium Dark matte,Abdmnal rgdt epigastric
882,Sertraline Hydrochloride,Leprosy NEC
883,"Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride",Open brain inj-coma NOS
884,Instant Hand Sanitizer - Ice Clear,Hx traumatc brain injury
885,Didanosine,Opn skl vlt fx/menin hem
886,equate hydrocortisone,Stress incontinence male
887,Sprintec,Mgrn w aura w ntrc mgrn
888,Midwest Regional Allergies,Compl labor NEC-antepart
889,Leaf Tobacco,Arthropathy NOS-ankle
890,Bad Dream Sprinkles,Oth mal neo skn site NEC
891,Eight Hour Cream Nourishing Lip Balm SPF 20,Chr marginal ulcer NOS
892,ALPHA SH,Demen NOS w/o behv dstrb
893,PROLONG 101,Pancreatic steatorrhea
894,Lunesta,Superf inj hand NEC-inf
895,Allergy Relief,Roseola infantum NOS
896,Benazepril Hydrochloride and Hydrochlorothiazide,Contusion of elbow
897,BD E-Z Scrub,"Chylocele, tunic vaginal"
898,CitraNatal Assure,Congen CV dis-postpartum
899,Terbinafine Hydrochloride,Spon abor w pelv inf-inc
900,Nasal Decongestant PE,Opn wnd lary w trac-comp
901,Synthroid,Gastric diverticulum
902,INDOCIN,Cl skl vlt fx-proln coma
903,Headache,Excess cry infant/baby
904,ziprasidone hydrochloride,Aircrft acc NEC-crew
905,Givenchy Photo Perfexion Fluid Foundation SPF 20 106 Perfect Pecan,Hx of irradiation
906,Aller Balance,Orthopoxvirus infect NEC
907,Childrens,Sebaceous gland dis NEC
908,Ocean Potion Instant Dry 50 Dab-On Spotstick,Aircrft acc NEC-pasngr
909,Eve Lom Radiance Lift Foundation SPF 15,Illg ab w compl NEC-unsp
910,ANXIETY/STRESS RELIEF,Second syphilis relapse
911,EQUALINE,Abdmnal rgdt rt upr quad
912,Nitrogen,Swimming
913,Transderm Scop,Ca in situ resp sys NEC
914,Justice Grape Scent ANTI BAC HAND SANITIZER,Ch mgr wo ara w nt wo st
915,Viagra,Bipol I single manc-mild
916,Risperidone,Cystoid macular degen
917,Ranitidine Hydrochloride,Infect nipple preg-unsp
918,Safe Harbor - Natural Sunscreen Face and Neck Cream Broad Spectrum SPF40 Sunscreen,Ben neo bones ankle/foot
919,Atenolol,War inj:expl mine-cease
920,Pantoprazole Sodium,Injury renal artery
921,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Anesth compl-antepartum
922,esika MEN Control Fresh Deodorant and Antiperspirant,Hx-analgesic allergy
923,PredniSONE,Mechanical prob w limbs
924,LBEL FILLING EFFECT FOUNDATION SPF 10,Ac endocardit in oth dis
925,BRIGHT EYE VITALIZER,Other jaw asymmetry
926,XtraCare Vaporizing Chest Rub,Inj optic nerv/path NOS
927,NHS Spasms Weakness,Gonococcal conjunctivit
928,PANCRELIPASE,Lt eff nerv inj pelv/leg
929,Evoxac,Pois-autonomic agent NOS
930,smilecare,Fracture patella-closed
931,Docetaxel,Lacrimal mucocele
932,Nasal Decongestant PE,Thyrotox orig NEC w cris
933,Calamine,Effect air pressure NEC
934,FRAICHEUR VERVEINE ANTIPERSPIRANT AND DEODORANT ROLL-ON,3rd deg burn w loss-chin
935,EVOCLIN,Merkel cell ca-low limb
936,Banana Boat Sport SPF 30,Gastroduodenal dis NOS
937,Losartan Potassium,Acc poisn-tranquilzr NOS
938,Multi Vitamin Infusion Adult,Fall-crew comm aircraft
939,Carisoprodol,TB of joint NEC-micro dx
940,Mucinex Sinus-Max,Dermatophytosis of foot
941,Vital-FL,Toxic cataract
942,Dendracin Neurodendraxcin,Malig neo exocervix
943,Hydrocortisone,Bariatric surg stat-del
944,Electrolyte Plus,Scrn fetal anatmc survey
945,Chlorpromazine hydrochloride,2nd deg burn ear
946,Vichy Laboratoires Normaderm Daily Gentle Cleanser,Opn skl base fx-coma NOS
947,Selsun Blue Moisturizing,Abn findings-semen
948,Povidone-Iodine,Ben neo soft tis thorax
949,Metoprolol Tartrate,Burn NOS upper arm
950,La Vaquita New Regular,Breathing exercises
951,Ciprofloxacin,Late effect leg fx
952,Laneige sliding pact EX,Cor ath bypass graft NOS
953,RAMIPRIL,Aircrft acc NOS-pers NEC
954,Topex,Adv eff psychotropic NOS
955,Lorazepam,TB urinary NEC-exam unkn
956,NUCYNTA,Detrusr sphinc dyssnrgia
957,Prepidil,Cortex contus-deep coma
958,Slim,Genetic suscept dis NEC
959,Infectistat,Opn skul fx NEC-brf coma
960,Zenzedi,1st deg burn hand NOS
961,AMOXICILLIN,Stenosis of larynx
962,Betamethasone Valerate,Screen mal neop oth site
963,ORIGINAL POWER WHITENING AND LINELESS AMPOULE,Fx condyl proc mandib-cl
964,Prep Solution,Glauc resid-ster induced
965,Penicillin V Potassium,Tricuspid valve disease
966,Cyclobenzaprine Hydrochloride,Ac myocardit in oth dis
967,BAMBOO SALT Eunganggo Jook Yeom Toothpaste,Late eff complic trauma
968,Enteric Coated Aspirin,"BMI,pediatric <5%"
969,CPDA-1,Acid burn cornea/conjunc
970,Loratadine,Pyrophosph cryst-pelvis
971,BENZTROPINE MESYLATE,Dermatomycoses NEC
972,Acid Reducer,80-89% bdy brn/30-39% 3d
973,Rx Act Tussin Chest Congestion,Somatization disorder
974,Nicotine,Prob-head/neck/trunk NOS
975,Danazol,Priv dwel fire-fumes NOS
976,Neutrogena Healthy Skin Makeup,Hypotony w eye dis NEC
977,Sulfamethoxazole and Trimethoprim,Undetrmine accid-air gun
978,Topcare Nicotine,Plasmacytosis
979,Arnica Aurum 20/30,Acc poisoning-mercury
980,Amlodipine Besylate,Impulse control dis NOS
981,LBEL HYDRATESS,Disorders labyrinth NEC
982,Gabapentin,"Old magnet fb, eye NEC"
983,Topcare Day Time Cold and Flu,Fracture of pubis-open
984,Reglan,Ac embl subclav veins
985,Flumazenil,Malignant neo palate NOS
986,METFORMIN HYDROCHLORIDE,Disorder of thyroid NOS
987,SENEXON-S,Screen-respir cond NEC
988,Labetalol Hydrochloride,Electrolyt/fluid dis NEC
989,CLARINS Extra-Comfort Broad Spectrum SPF 15 Sunscreen Tint 112,Malign neopl urethra
990,Trichoderma harzianam,Malign neopl ureter
991,Lucky,Bdy brn < 10%/3d deg NOS
992,Ceftriaxone Sodium,Deep 3rd deg burn toe
993,Losartan Potassium and Hydrochlorothiazide,Effects of thirst
994,Trichophyton schoenleinii,Villonod synovit-shlder
995,APATITE PROFESSIONAL,Alpha thalassemia
996,Dallergy DROPS,Pylorospasm
997,Enalapril Maleate and Hydrochlorothiazide,Malig neo lower gum
998,Potassium Chloride,N-traf brd/alit-ped cycl
999,Follistim AQ,Monoart juv rheum arthr
1000,Levetiracetam,Hordeolum internum
