employee_fixed_compensation_id ,compensation_event  ,pay_frequency ,"compensation_amount DECIMAL (p, s)"
962,Garden,Seldom,22.5
963,Music,Often,43.9
964,Kids,Never,40.0
965,Garden,Once,87.2
966,Electronics,Seldom,31.6
967,Health,Never,58.9
968,Computers,Once,61.6
969,Clothing,Weekly,43.6
970,Home,Never,56.4
971,Kids,Often,19.9
972,Industrial,Daily,90.6
973,Baby,Once,58.4
974,Shoes,Monthly,96.2
975,Home,Often,71.0
976,Home,Once,57.5
977,Baby,Often,61.0
978,Clothing,Yearly,59.4
979,Kids,Often,85.8
980,Kids,Monthly,5.8
981,Games,Yearly,65.6
982,Industrial,Once,97.9
983,Garden,Seldom,71.5
984,Home,Yearly,16.3
985,Grocery,Weekly,54.6
986,Outdoors,Yearly,47.0
987,Shoes,Often,94.8
988,Electronics,Seldom,74.0
989,Garden,Monthly,79.8
990,Electronics,Yearly,97.7
991,Toys,Once,50.2
992,Toys,Never,97.6
993,Shoes,Yearly,61.8
994,Health,Seldom,38.7
995,Jewelry,Once,78.4
996,Sports,Never,69.9
997,Beauty,Never,89.0
998,Sports,Seldom,78.3
999,Clothing,Never,82.7
1000,Beauty,Yearly,3.6
