course_category_name ,course_category_explain 
Paralegal,TB male gen NEC-no exam
Junior Executive,Nonorganic sleep dis NEC
Help Desk Operator,Cortical blindness
Electrical Engineer,Benign neo skin arm
Geological Engineer,Fx pisiform-closed
Chemical Engineer,Nephrotic syn in oth dis
Product Engineer,Brucellosis NEC
Engineer III,Chro kidney dis stage II
VP Product Management,Tanapox
Analog Circuit Design manager,Fuch hetrochrom cyclitis
Systems Administrator IV,Prolong rupt memb-unspec
VP Quality Control,Scrn mal neo breast NOS
Accounting Assistant I,Hered spastic paraplegia
Environmental Specialist,Coccidiosis
Social Worker,Liveborn NOS-before adm
Research Nurse,Extravasation of urine
Programmer I,Tripl gest-plac/sac NOS
Geological Engineer,Path resorption-external
Business Systems Development Analyst,Wait adm to oth facility
Technical Writer,Hearing exam-fail screen
Geological Engineer,Post-surgical forgn body
Senior Cost Accountant,Adv eff mix bact vaccine
Programmer I,Hx-malig skin melanoma
Human Resources Manager,Tenosynov hand/wrist NEC
Administrative Assistant III,Alopecia NOS
Automation Specialist III,Lymphoid mal NEC mult
Office Assistant II,Path resorption-external
Administrative Officer,Duodenal ulcer NOS-obstr
Nuclear Power Engineer,RR acc NOS-ped cyclist
Automation Specialist I,Acne NEC
Recruiter,Ben neo fem genital NEC
Software Engineer III,Heredit hemochromatosis
Geological Engineer,Poisoning-parathyroids
Senior Cost Accountant,Male genital dis NOS
VP Product Management,Abnrml coagultion prfile
Programmer I,Matern hypotens-postpart
Paralegal,"Chr inflam NOS, orbit"
Data Coordinator,Mal neo pancreas body
Help Desk Technician,Periph T cell lym thorax
Product Engineer,Abrasion hand-infected
Engineer III,Mild stage glaucoma
Web Designer IV,Mumps complication NOS
Assistant Manager,Hyperlipidemia NEC/NOS
Geologist IV,Adjust react-phys sympt
General Manager,Prostatic disorder NOS
Nuclear Power Engineer,Burn NOS lower leg
Occupational Therapist,Eye disorders NEC
Food Chemist,Undescended testis
Human Resources Assistant I,Oth umbil cord compress
Software Test Engineer I,Opn skl base fx w/o coma
Senior Quality Engineer,Fetal comp in utero-p/p
Research Associate,Sleep organic disord NEC
Junior Executive,Contracept mgmt-emergncy
Chief Design Engineer,Pyogen arthritis-unspec
Help Desk Operator,Cryst arthrop NEC-shlder
Statistician I,Pleural effusion NOS
General Manager,Palindrom rheum-jt NEC
Computer Systems Analyst III,Accident in public bldg
Social Worker,Cl skull fx NEC-mod coma
Geological Engineer,Opn wnd ant abdomen-comp
Assistant Media Planner,Fx up radius w ulna-clos
Human Resources Assistant I,Glucrtcod-rem aldsternsm
Librarian,Cyclotropia
Web Designer IV,Demen NOS w/o behv dstrb
Media Manager I,Paragonimiasis
Environmental Specialist,Removal of iud
Staff Scientist,Loss of teeth NEC
VP Sales,Ben neo fem genital NOS
Human Resources Manager,Uncer neo endocrine NEC
Legal Assistant,Black piedra
Sales Representative,Posterior disloc hip-opn
Engineer II,Gc salpingitis (chronic)
Programmer Analyst III,Abn glucose in preg-unsp
Marketing Manager,Chr osteomyelit-shlder
Quality Control Specialist,Injury-handgun
Programmer Analyst II,Monoarthritis NOS-l/leg
Graphic Designer,Jt contracture-ankle
Geologist I,Thrombophlebitis NEC
Assistant Professor,Mv-oth veh coll-pers NOS
Food Chemist,Subjective tinnitus
Product Engineer,Abnrml coagultion prfile
Senior Editor,Bipol I currnt manic-mod
Help Desk Operator,Chron kidney dis stage V
Actuary,Foc choroiditis post NEC
Software Test Engineer I,3rd deg burn foot
Financial Advisor,RR col w oth obj-per NEC
Assistant Manager,Malig neo upper gum
GIS Technical Architect,Opn skul/oth fx-coma NOS
Registered Nurse,Mild hypox-ischem enceph
Desktop Support Technician,TB esophagus-unspec
Senior Sales Associate,Odontoclasia
Civil Engineer,Seminal vesiculitis
Safety Technician III,Rupture descemet membran
Account Representative IV,Poison-opiate antagonist
Environmental Tech,Dis calcium metablsm NEC
Electrical Engineer,Mv-train coll-st car
Computer Systems Analyst II,"AMI inferopost, initial"
Sales Representative,Puerperal sepsis-unsp
VP Accounting,Trichilemmal cyst
VP Accounting,Pemphigus
Human Resources Assistant I,"NB intraven hem,grade iv"
Account Executive,Fussy infant/baby
Human Resources Manager,Prolapsed arm-unspec
Senior Quality Engineer,Hx-mental disorder NOS
Office Assistant II,Watercrft acc NEC-docker
Environmental Specialist,Disproportion NEC-deliv
Legal Assistant,Adverse food react NEC
GIS Technical Architect,Ben neo nasal cav/sinus
Marketing Manager,"Retain FB, mat NOS"
Geological Engineer,Stridor
Cost Accountant,Screen for condition NEC
Actuary,Appendix injury-closed
Geologist IV,Ac idio pul hemrg infant
Geologist III,"Amput foot, unilat-compl"
VP Sales,Late effect dislocation
Data Coordinator,Placenta prev hem-unspec
Graphic Designer,Utervaginal prolapse NOS
Environmental Specialist,Hair diseases NEC
Accounting Assistant II,Acc poison-herbicides
Business Systems Development Analyst,Cumltv trma-repetv impct
Business Systems Development Analyst,Urge incontinence
Health Coach IV,Ob perineal trau NOS-del
Account Coordinator,Toxic eff pesticides NEC
Analog Circuit Design manager,Undetermin circ-shotgun
Senior Editor,Joint pain-jt NEC
Senior Financial Analyst,Arbovirus enceph vaccin
Chief Design Engineer,Acq absence knee joint
Account Coordinator,Meningismus
Database Administrator III,Thrombophlebitis leg NOS
Cost Accountant,Oligohydramnios-deliver
VP Product Management,2nd degree sunburn
Community Outreach Specialist,Macrocheilia
Community Outreach Specialist,Contusion genital organs
Safety Technician III,Female infertility NEC
Paralegal,Poison by psychostim NEC
Data Coordinator,Mal neo male genital NOS
Help Desk Technician,Cns compl in del-postpar
Marketing Assistant,Struck by falling object
Research Nurse,Obstructive sleep apnea
Operator,Voice/resonance dis NOS
Technical Writer,Low grde myelody syn les
Sales Associate,Postabortion hemorrhage
Junior Executive,Sezary's disease head
Engineer III,Capslr contrctr brst imp
Health Coach II,Amniotic infect-antepart
Account Representative II,Poisoning-paraldehyde
Pharmacist,Mal neo adnexa NOS
Database Administrator II,Cns disorder NOS
Software Engineer IV,Hx-female genit malg NOS
Food Chemist,Mgrn wo aura wo ntrc mgr
Senior Editor,"Low vision, 2 eyes NOS"
Analog Circuit Design manager,Disc displacement NOS
Food Chemist,Fx upper ulna NEC/NOS-cl
Electrical Engineer,Toxoplasma myocarditis
Information Systems Manager,Fet damg d/t drug-antepa
Recruiting Manager,Soft tissue disorder NEC
General Manager,Adv eff methaqualone
Actuary,"NB intraven hem,grade i"
Civil Engineer,"Amput below elb, unilat"
Marketing Assistant,Peritoneum injury-open
Operator,Twins w fetal loss-del
Payment Adjustment Coordinator,Pathol dislocat-up/arm
Account Executive,Infect NOS-antepartum
VP Product Management,TB periph lymph-oth test
Graphic Designer,Ob air embolism-unspec
Registered Nurse,Full-thicknes lac eyelid
Health Coach IV,Ornithosis NOS
Account Representative IV,Abrasion hip/leg-infect
Technical Writer,Lymphoid mal NEC axilla
Structural Engineer,Recurrent pterygium
Director of Sales,Painful respiration
Geological Engineer,Epilepsy-unspecified
Professor,Blood asp w resp sympt
Nurse,Dermatitis oth radiation
Engineer IV,Generalized vaccinia
Marketing Manager,Hi grde myelodys syn les
Data Coordinator,Uterine size des-antepar
Help Desk Operator,Dis of gallbladder NOS
Senior Editor,Illeg ab w pelv inf-inc
VP Marketing,Prolong labor NOS-deliv
Quality Control Specialist,Local suprficial swellng
Actuary,Opn skl base fx-mod coma
Librarian,Fitting artificial arm
Programmer I,"Sed,hyp,anxiolyt dep-rem"
Mechanical Systems Engineer,C5-c7 spin cord inj NEC
Technical Writer,Folate-deficiency anemia
Assistant Manager,Ca in situ skin trunk
Human Resources Assistant II,Boat submers-dockers
Administrative Officer,Amebic skin ulceration
Environmental Specialist,Pyogen arthritis-ankle
Assistant Manager,Letterer-siwe dis mult
Structural Engineer,Rapid childhood growth
Research Assistant III,Adv eff antivaricose
Assistant Media Planner,Ac osteomyelitis-up/arm
Food Chemist,Carbuncle of arm
Senior Quality Engineer,Aneurysm coronary vessel
Accountant II,Late effec skull/face fx
Assistant Media Planner,Schmorls node-region NEC
Marketing Assistant,Jaw pain
Teacher,Proteinuria
Systems Administrator II,Damage to pelvic jt-del
Help Desk Technician,Postop GI funct dis NEC
Cost Accountant,DMI ophth nt st uncntrld
Clinical Specialist,Acute pericarditis NEC
Automation Specialist II,Fitting prosthesis NOS
Geological Engineer,Fall NOS
Actuary,Bladder calculus NEC
Senior Sales Associate,Pulmonary eosinophilia
Quality Control Specialist,Mal neo descend colon
Electrical Engineer,"BMI 31.0-31.9,adult"
Computer Systems Analyst II,Venous compl NOS-antepar
Teacher,Schistosoma haematobium
Web Designer IV,Tracheostomy infection
Senior Financial Analyst,Lumbar root injury
Desktop Support Technician,Transient refract change
Software Test Engineer III,Iatrogen pulm emb/infarc
Tax Accountant,Fx eight/more ribs-open
Graphic Designer,Chr salpingo-oophoritis
GIS Technical Architect,Prob-head/neck/trunk NOS
Account Executive,Water aerobics/exercise
Staff Accountant II,Opn skul/oth fx-coma NOS
Payment Adjustment Coordinator,Fem stress incontinence
Nuclear Power Engineer,Basketball
Office Assistant II,Hx-lymphosarcoma
Safety Technician II,Tabes dorsalis
Recruiting Manager,Opn cortx lacer-mod coma
Recruiting Manager,Inf mcrg rstn qn flrq ml
Health Coach I,Pyoderma NEC
General Manager,Pemphigus
Account Coordinator,Breast inf NEC-postpart
Health Coach I,Adv eff saluretics
Systems Administrator III,Hallucinogen dep-contin
Environmental Specialist,<24 comp wks gestation
Software Consultant,Opn skul vlt fx-brf coma
Senior Developer,Cong elevation-scapula
Senior Developer,Screen for nephropathy
Design Engineer,War inj:intn restrct air
Analog Circuit Design manager,Molluscum contagiosum
Staff Accountant I,Liver disorder NOS
Research Nurse,Ac stomach ulcer w perf
Quality Control Specialist,Cellulitis of foot
Occupational Therapist,Precordial pain
Chemical Engineer,Nephrotic syndrome NEC
Human Resources Assistant IV,Cl skul w oth fx-concuss
Administrative Officer,CV dis NEC-deliver w p/p
Dental Hygienist,Mal neo soft tissue NOS
Quality Control Specialist,Hodgkins paragran abdom
Executive Secretary,Inj innomin/subclav art
Electrical Engineer,Sprain lumbosacral
Environmental Specialist,Conjunctiva vasc anomaly
Cost Accountant,Splenomegaly
Pharmacist,Jt derangment NOS-shlder
Account Executive,Oth/uns inf-cen ven cath
Internal Auditor,"Hx-cong malform-skin,ms"
Marketing Assistant,Mycosis fungoides pelvic
Account Coordinator,Abnorm electrocardiogram
Professor,Lung anomaly NOS
Administrative Officer,Poisoning-antiasthmatics
Programmer IV,Obstructive sleep apnea
Human Resources Assistant II,Flat retinoschisis
Statistician IV,Hodgkins dis NOS head
Graphic Designer,Ureteric obstruction NEC
Quality Control Specialist,Erythmtsquamous derm NEC
Community Outreach Specialist,Second malig neo kidney
Occupational Therapist,2nd deg burn chest wall
Chemical Engineer,Macular scars NEC
Analog Circuit Design manager,Tobacco use dis-antepart
Administrative Assistant I,Australian encephalitis
Speech Pathologist,Fx scapula NEC-open
Dental Hygienist,Adjust dis w anxiety/dep
Mechanical Systems Engineer,Machinery accident-crew
Staff Accountant III,Mal histiocytosis thorax
Software Engineer IV,Inj nerve root/plex NOS
Compensation Analyst,Med disloc prox tibia-cl
Compensation Analyst,Blood asp w resp sympt
Teacher,Pneumococcal pneumonia
Occupational Therapist,Joint dis NOS-oth jt
Structural Engineer,Major puerp inf NOS-p/p
Civil Engineer,Mal carcinoid desc colon
Civil Engineer,Vitreous disorders NEC
Marketing Assistant,Perinat GI sys dis NOS
Senior Sales Associate,Vaginal agenesis
Assistant Professor,Comp-nerv sys dev/graft
Payment Adjustment Coordinator,Pseudomonal pneumonia
General Manager,Lymphomas NEC pelvic
Financial Advisor,Malign neopl prepuce
Clinical Specialist,Old FB in soft tissue
Senior Sales Associate,Resp obstr-inhal obj NEC
Payment Adjustment Coordinator,Actinomycosis NOS
Safety Technician II,Cholera d/t vib el tor
Staff Scientist,Anomalies of spleen
Senior Developer,Cl skl vlt fx-proln coma
Software Engineer IV,Abdmnal pain epigastric
Health Coach I,Epiphora d/t insuf drain
Geologist IV,Extraocul muscl myopathy
Budget/Accounting Analyst II,C5-c7 fx-cl/cord inj NEC
Automation Specialist III,Musculoskel anom NEC/NOS
Paralegal,Long-term use of insulin
Librarian,Cl skull fx NEC-concuss
Administrative Officer,Puberty
Marketing Assistant,"Trachoma, active stage"
Executive Secretary,Mult defects of retina
General Manager,Adv eff tetanus vaccine
Assistant Professor,Lung injury NOS-closed
Teacher,Dislocation jaw-closed
Software Consultant,Dyspareunia
Dental Hygienist,Sprain tarsometatarsal
Community Outreach Specialist,Opn skl base fx-coma NOS
GIS Technical Architect,Anomalies of inner ear
Senior Cost Accountant,Undeter pois-sol/liq NEC
Marketing Manager,One eye-profound/oth-NOS
Media Manager I,Ac bulbar polio-type 3
Assistant Manager,Retain nonmag meta frag
Developer III,Opn wound neck NEC-compl
Payment Adjustment Coordinator,Chr marg ulc hem/perf-ob
Operator,1st deg burn finger
Automation Specialist IV,Urethral diverticulum
Senior Editor,Abn uterus NEC-delivered
Geological Engineer,Deep 3rd deg brn leg NOS
Speech Pathologist,Longitudin defic fibula
